text,maj_label,doccano_art_id,sentence_id,label_anno1,comments_anno1,label_anno2,comments_anno2,label_anno3,comments_anno3,label_anno4,comments_anno4,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence
Our approach to question-answering in the context of text adventure game playing thus represents a form of transfer learning.,NC,2,122,NC,,FACT,,,,,,Game Play as Question Answering,"For pre-training to work, the agent must develop a general question-answering competence that can transfer to new quests.",Experiments,"We conducted experiments in the TextWorld framework (Côté et al., 2018) using their ""home"" theme."
Those who did not receive instructions on how to finish the quest never finished a single quest and gave up after an average of 184 steps on the small map and an average of 190 steps on the large map.,NC,2,167,NC,,POS,,,,,,Results and Discussion,"To help benchmark our agent's performance, we observed people unaffiliated with the research playing through the same TextWorld ""home"" quests as the other models.",Results and Discussion,"When given instructions, human players completed the quest on the large map in an average of 23 steps, finishing the game with the maximum reward possible."
"When given instructions, human players completed the quest on the large map in an average of 23 steps, finishing the game with the maximum reward possible.",NC,2,168,NC,,POS,,,,,,Results and Discussion,Those who did not receive instructions on how to finish the quest never finished a single quest and gave up after an average of 184 steps on the small map and an average of 190 steps on the large map.,Results and Discussion,Also note that none of the deep reinforcement learning agents received instructions.
We don't show BOW-DQN because it is strictly inferior to LSTM-DQN in all situations).,POS,2,171,POS,,NC,,,,,,Results and Discussion,"On both small and large maps, all versions of KG-DQN tested converge faster than baselines (see Figure 3 for the small game and Figure 4 for the large game).",Results and Discussion,KG-DQN converges 40% faster than baseline on the small game; both KG-DQN and the LSTM-DQN baseline reaches the maximum reward of five.
"On the large game, no Table 3: Average number of steps (and standard deviation) taken to complete the small game.",POS,2,173,POS,légende de table en plein milieu/coupe phrase,NC,,,,,,Results and Discussion,KG-DQN converges 40% faster than baseline on the small game; both KG-DQN and the LSTM-DQN baseline reaches the maximum reward of five.,Results and Discussion,"agents achieve the maximum reward of 10, and the LSTM-DQN requires more than 300 episodes to converge at the same level as KG-DQN."
"Differences between LSTM-DQN and full KG-DQN are not statistically significant, p = 0.199 on an independent Ttest.",POS,2,178,POS,,NEG#POS,,,,,,Results and Discussion,Full KG-DQN requires an equivalent number of steps in the small game (Table 3) and in the large game (Table 4).,Results and Discussion,The ablated versions of KG-DQN-unpruned KG-DQN and non-pre-trained KG-DQN-require many more steps to complete quests.
TextWorld's reward function allows for a lot of exploration of the environment without penalty so it is possible for a model that has converged on reward to complete quests in as few as five steps or in many hundreds of steps.,NC,2,180,NC,,POS,,,,,,Results and Discussion,The ablated versions of KG-DQN-unpruned KG-DQN and non-pre-trained KG-DQN-require many more steps to complete quests.,Results and Discussion,"From these results, we conclude that the pre-training using our questionanswering paradigm is allowing the agent to find a general understanding of how to pick good actions even when the agent has never seen the final"
"While the knowledge graph allows the agent to reach optimal reward more quickly, it doesn't ensure a high quality solution to quests.",POS,2,184,POS,,NEG,,,,,,Conclusions,We speculate that this is because the knowledge graph provides a persistent memory of the world as it is being explored.,Conclusions,Action pruning using the knowledge graph and pre-training of the embeddings used in the deep Q-network result in shorter action sequences needed to complete quests.
The insight into pre-training portions of the agent's architecture is based on converting textadventure game playing into a question-answering activity.,NC,2,186,NC,,POS,,,,,,Conclusions,Action pruning using the knowledge graph and pre-training of the embeddings used in the deep Q-network result in shorter action sequences needed to complete quests.,Conclusions,"That is, at every step, the agent is asking-and trying to answer-what is the most important thing to try."
"The pre-training acts as a form of transfer learning from different, but re-lated games.",NC,2,188,NC,,POS,,,,,,Conclusions,"That is, at every step, the agent is asking-and trying to answer-what is the most important thing to try.",Conclusions,"However, question-answering alone cannot solve the text-adventure playing problem because there will always be some trial and error required."
"However, question-answering alone cannot solve the text-adventure playing problem because there will always be some trial and error required.",POS,2,189,POS,,NEG,,,,,,Conclusions,"The pre-training acts as a form of transfer learning from different, but re-lated games.",Conclusions,"By addressing the challenges of partial observability and combinatorially large action, spaces through persistent memory, our work on playing text-adventure games addresses a critical need for reinforcement learning for language."
"By addressing the challenges of partial observability and combinatorially large action, spaces through persistent memory, our work on playing text-adventure games addresses a critical need for reinforcement learning for language.",POS,2,190,POS,,PROSP,,,,,,Conclusions,"However, question-answering alone cannot solve the text-adventure playing problem because there will always be some trial and error required.",Conclusions,"Textadventure games can be seen as a stepping stone toward more complex, real-world tasks; the human world is one of partial understanding through communication and acting on the world using language."
"Textadventure games can be seen as a stepping stone toward more complex, real-world tasks; the human world is one of partial understanding through communication and acting on the world using language.",POS,2,191,POS,,PROSP,,,,,,Conclusions,"By addressing the challenges of partial observability and combinatorially large action, spaces through persistent memory, our work on playing text-adventure games addresses a critical need for reinforcement learning for language.",,
"  Despite the feature of real-time decoding, Monotonic Multihead Attention (MMA) shows comparable performance to the state-of-the-art offline methods in machine translation and automatic speech recognition (ASR) tasks.",POS,3,0,POS,,NC,,,,,,,,abstract,"However, the latency of MMA is still a major issue in ASR and should be combined with a technique that can reduce the test latency at inference time, such as head-synchronous beam search decoding, which forces all non-activated heads to activate after a small fixed delay from the first head activation."
"However, the latency of MMA is still a major issue in ASR and should be combined with a technique that can reduce the test latency at inference time, such as head-synchronous beam search decoding, which forces all non-activated heads to activate after a small fixed delay from the first head activation.",POS,3,1,POS,,NC,,,,,,abstract,"  Despite the feature of real-time decoding, Monotonic Multihead Attention (MMA) shows comparable performance to the state-of-the-art offline methods in machine translation and automatic speech recognition (ASR) tasks.",abstract,"In this paper, we remove the discrepancy between training and test phases by considering, in the training of MMA, the interactions across multiple heads that will occur in the test time."
"We validate our proposed method on the two standard benchmark datasets for ASR and show that our approach, MMA with the mutually-constrained heads from the training stage, provides better performance than baselines.",FACT,3,4,FACT,,POS,,,,,,abstract,"Specifically, we derive the expected alignments from monotonic attention by considering the boundaries of other heads and reflect them in the learning process.",INTRODUCTION,"Online automatic speech recognition (ASR), which immediately recognizes incomplete speeches as humans do, is emerging as a core element of diverse ASR-based services such as teleconferences, AI secretaries, or AI booking services."
"Published in ICASSP 2021 -2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), scheduled for 6-11 June 2021 in Toronto, Ontario, Canada.",NC,3,8,NC,ligne de conf,NC,,,,,,INTRODUCTION,"However, of course, online ASR models [1,2] targeting real-time inference have concerns about performance degradation compared to traditional Copyright 2021 IEEE.",INTRODUCTION,Personal use of this material is permitted.
The performance degradation with small occurs since accessible input information is very limited and training models with small restricts head diversity severely.,NC,3,97,NC,,NC,explication d'un résultat,,,,,Trade-off between Performance and Latency,Our model outperforms baselines and is still faster than MMA without HSD even though there are small increases in relative latency compared to HeadDrop except for the case with extremely small text .,Trade-off between Performance and Latency,"Thus, this result suggests that the practitioners should avoid choosing small ."
We suggest the method to learn alignments with considering other heads' alignments by modifying expected alignments for all the heads of each layer to select an input frame within a fixed size window.,POS,3,99,POS,,FACT,,,,,,Trade-off between Performance and Latency,"Thus, this result suggests that the practitioners should avoid choosing small .",CONCLUSION,Our approach improves performance with only a small increase in latency by regularizing the intra-layer difference of boundaries effectively from the training phase.
"However, Tanaka (2011) ar gues against Merchant's dichotomy in voice mis match between VP ellipsis and Pseudogapping, reporting that voice mismatch in both types of e llipsis is permissible or not while interacting wi th what Kehler (2000) calls discourse coherence relations between ellipsis and antecedent clause s. Departing from Kehler's (2000) insight, we s uggest that vP undergoes ellipsis in a resemblan ce discourse relation, but VP does so in a cause/ effect discourse relation.",NC,4,3,NC,,POS,caractères espace --> pb au niveau du XML ?,,,,,abstract,"reports that VP ellipsis as an elision o f smaller size VP allows voice mismatch, but Ps eudogapping and Sluicing as an elision of bigge r size vP/TP do not.",abstract,"Given the asymmetry i n the size of ellipsis in tandem with discourse re lations, we argue that since Accusative as well as Nominative Case is checked outside VP, the VP to be elided can meet the identity condition on ellipsis with its antecedent VP as the object element in the former and the subject one in the latter or vice versus have not been Case-checke d yet, thus being identical in terms of Case-feat ure at the point of derivation building a VP."
This paper examines the very issue of voice mismatch in the above three types of ellipsis in English.,NC,4,14,NC,,FACT,,,,,,Introduction,"(3) Pseudogapping *Roses were brought by some, and others did bring lilies.",Introduction,"The next section reviews Merchant's (2007Merchant's ( , 2008) ) analysis of voice mismatch in ellipsis by postulating the functional category of Voice in the syntactic structure of a clause, and the subsequent rebuttal of Merchant's analysis by Tanaka (2011)."
"It seems clear that voice mismatch is disallowed only in some of elliptical structures like VP ellipsis, Pseudogapping and Sluicing.",NC,4,21,NC,,POS,claim tiré d'un exemple mais servant de point de départ aux auteurs,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,Consider the examples in (4) and (5).,No asymmetry in voice match between VP ellipsis and Pseudogapping,"Unlike in the ellipsis structure of (4), voice mismatch is permissible in the non-elliptical structure of ( 5)."
"These results of the experiment show that voice mismatch in VP ellipsis is not always permissible, unlike what Merchant (2008) argues.",NC,4,71,NC,,NC,rapport détaillé des résultats d'un autre papier,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"No effect of coherence (i.e., discourse relation) is found in the big elliptical conditions (conditions (a-d) above).",No asymmetry in voice match between VP ellipsis and Pseudogapping,"Instead, discourse relations are a determining factor in ruling in or out voice mismatch in VP ellipsis."
"The conclusion drawn from the review of Merchant (2007Merchant ( , 2008) ) and Tanaka (2011) is that the former analysis based on the different sizes of ellipsis for VP ellipsis and Pseudogapping overgenerates and under-generates.",NC,4,73,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"Instead, discourse relations are a determining factor in ruling in or out voice mismatch in VP ellipsis.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"It over-predicts that all the examples involving mismatch in VP are acceptable, and at the same time it cannot predict that some of those involving voice mismatch in VP ellipsis are unacceptable."
"It over-predicts that all the examples involving mismatch in VP are acceptable, and at the same time it cannot predict that some of those involving voice mismatch in VP ellipsis are unacceptable.",NC,4,74,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"The conclusion drawn from the review of Merchant (2007Merchant ( , 2008) ) and Tanaka (2011) is that the former analysis based on the different sizes of ellipsis for VP ellipsis and Pseudogapping overgenerates and under-generates.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"In the next section, building on Kehler's (2000) insight into discourse relations between ellipsis and antecedent clauses, we argue that sizes of ellipsis for both VP ellipsis and Pseudogapping interact with such discourse relations."
"We depart from Kehler (2000), suggesting that a cause/effect relation as well as a resemblance relation requires syntactic identity in ellipsis, but that they are distinguished in terms of the category that undergoes ellipsis.",NC,4,99,NC,,POS,claim principal d'une argumentation qui continue sur plusieurs lignes ... est-ce qu'on garde seulement le claim initial ?,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"(Kehler 2000: 551, example 34) Kehler (2000: 543-46) ascribes this contrast to the fact that cause/effect relations require only semantic identity, which tolerates voice mismatch, while resemblance relations require syntactic identity in addition to semantic identity.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"In particular, when a resemblance relation holds, the bigger category vP is a target of ellipsis."
"In particular, when a resemblance relation holds, the bigger category vP is a target of ellipsis.",NC,4,100,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"We depart from Kehler (2000), suggesting that a cause/effect relation as well as a resemblance relation requires syntactic identity in ellipsis, but that they are distinguished in terms of the category that undergoes ellipsis.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"By contrast, when a causeeffect relation holds, the smaller category VP can be elided, as schematized below: (28) a. vP ellipsis in ""parallel resemblance (or contrast) relations"" [ TP < vP [ VP ] >]... [ TP [ vP [ VP ] ]] b. VP ellipsis in ""non-parallel cause-effect relations"" [ TP [ vP < VP > ]]... [ TP [ vP [ VP ] ]] The difference between the two types of relations in terms of the category of ellipsis is justified on the basis of the following reasoning."
"By contrast, when a causeeffect relation holds, the smaller category VP can be elided, as schematized below: (28) a. vP ellipsis in ""parallel resemblance (or contrast) relations"" [ TP < vP [ VP ] >]... [ TP [ vP [ VP ] ]] b. VP ellipsis in ""non-parallel cause-effect relations"" [ TP [ vP < VP > ]]... [ TP [ vP [ VP ] ]] The difference between the two types of relations in terms of the category of ellipsis is justified on the basis of the following reasoning.",NC,4,101,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"In particular, when a resemblance relation holds, the bigger category vP is a target of ellipsis.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"First, a parallel resemblance relation relates two clauses/sentences; the ellipsis clause and its antecedent clause."
The ideas we rely on are summarized below: (29) Identity condition on VP or vP ellipsis: a. Case/case mismatch (between the copy of the survivor/remnant and its correlate) is not allowed for ellipsis (as part of syntactic isomorphism in ellipsis).,NC,4,115,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,"Given the asymmetry between resemblance and cause/effect relations in terms of the size of ellipsis, we are now in a position to account for their contrast in voice mismatch when a verbal domain (VP or vP) undergoes ellipsis.",No asymmetry in voice match between VP ellipsis and Pseudogapping,"b. Nominative and Accusative Case are checked outside VP, whereas inherent case is checked inside VP."
"b. Nominative and Accusative Case are checked outside VP, whereas inherent case is checked inside VP.",NC,4,116,NC,,POS,,,,,,No asymmetry in voice match between VP ellipsis and Pseudogapping,The ideas we rely on are summarized below: (29) Identity condition on VP or vP ellipsis: a. Case/case mismatch (between the copy of the survivor/remnant and its correlate) is not allowed for ellipsis (as part of syntactic isomorphism in ellipsis).,No asymmetry in voice match between VP ellipsis and Pseudogapping,c. vP undergoes 'VP ellipsis' in a resemblance relation.
