idx,sent,sec,prev_sec,prev_sent,next_sec,next_sent,label
3075798,The architecture simplifies the specification of different types of dialogue agents and plugs in an already-built dialogue agent.,Introduction,Introduction,"To address this gap, we propose a new, readyto-use, cross-platform framework for text-based conversational agents -MACA 1 (Modularized Architecture for Conversational Agents)-that supports plug-n-play use of several existing dialogue agents, as well as facilitates easy prototyping of new dialogue agents.",Introduction,"The framework also maintains a clear separation between domain knowledge and the dialogue agent, which improves agent and domain knowledge reusability.",
3075799,"The framework also maintains a clear separation between domain knowledge and the dialogue agent, which improves agent and domain knowledge reusability.",Introduction,Introduction,The architecture simplifies the specification of different types of dialogue agents and plugs in an already-built dialogue agent.,Introduction,MACA separates task definition from task selection and thereby supports multi-task agents that can extend to multiple turns. ,
3075800,MACA separates task definition from task selection and thereby supports multi-task agents that can extend to multiple turns. ,Introduction,Introduction,"The framework also maintains a clear separation between domain knowledge and the dialogue agent, which improves agent and domain knowledge reusability.",Introduction,"The key characteristics of the MACA framework include: • strong separation between domain knowledge and a dialogue agent • a unified architecture to support goaloriented, POMDP, generative, and retrievalbased dialogue agents • easy plug-n-play of custom-built agents • multi-task support for domain specification • reusability of slots across different tasks • tool to collect data from mTurk with ease • template to construct dialogue agents within the framework • independence from dialogue agents' implementation libraries • open source code ready for public sharing",
3075801,"The key characteristics of the MACA framework include: • strong separation between domain knowledge and a dialogue agent • a unified architecture to support goaloriented, POMDP, generative, and retrievalbased dialogue agents • easy plug-n-play of custom-built agents • multi-task support for domain specification • reusability of slots across different tasks • tool to collect data from mTurk with ease • template to construct dialogue agents within the framework • independence from dialogue agents' implementation libraries • open source code ready for public sharing",Introduction,Introduction,MACA separates task definition from task selection and thereby supports multi-task agents that can extend to multiple turns. ,Related Work,There are a few proposed frameworks in recent years that provide easy prototyping of dialogue agents. ,
3075802,Domain knowledge contains static background information about the conversation topic.,Domain Knowledge,Architecture Description,"This helps in block-wise designing of newer systems by preserving the original functionality, yet also providing a free hand in customizing of each component.",Domain Knowledge,"This can take the form of training data (e.g. transcribed conversations), constants, dictionaries, or restrictions on produced responses (e.g. sentence length, banned phrases).",
3075803,"This can take the form of training data (e.g. transcribed conversations), constants, dictionaries, or restrictions on produced responses (e.g. sentence length, banned phrases).",Domain Knowledge,Domain Knowledge,Domain knowledge contains static background information about the conversation topic.,Domain Knowledge,"Data stored in domain knowl-edge must be independent of the model implementation, and can be shared between different models and components.",
3075804,"Data stored in domain knowl-edge must be independent of the model implementation, and can be shared between different models and components.",Domain Knowledge,Domain Knowledge,"This can take the form of training data (e.g. transcribed conversations), constants, dictionaries, or restrictions on produced responses (e.g. sentence length, banned phrases).",Input,"The Input module provides or generates input utterances (i.e. statements, sentences) to the conversation pipeline.",
3075805,"The Input module provides or generates input utterances (i.e. statements, sentences) to the conversation pipeline.",Input,Domain Knowledge,"Data stored in domain knowl-edge must be independent of the model implementation, and can be shared between different models and components.",Input,This component represents an abstract input device whose source of context varies depending on the use case.,
3075806,This component represents an abstract input device whose source of context varies depending on the use case.,Input,Input,"The Input module provides or generates input utterances (i.e. statements, sentences) to the conversation pipeline.",Input,"This could include a database of previous collected conversations, a terminal interface (i.e. stdin) to acquire data in real-time, or a web interface to a data source (e.g. mTurk).",
3075807,"This could include a database of previous collected conversations, a terminal interface (i.e. stdin) to acquire data in real-time, or a web interface to a data source (e.g. mTurk).",Input,Input,This component represents an abstract input device whose source of context varies depending on the use case.,Preprocessing,The Pre-processing module serves as a bridge between raw data acquired via the Input component and the input format required of components of the Dialogue model module.,
3075808,"Through the output component, the architecture provides a generic way to output the response to appropriate audience(s) depending on the use case.",Output,Postprocessing,"In addition, these post-processing operations within the Post-processing component can also query the Domain Knowledge component for relevant data required for the generation of text response.",Output,"Currently, implemented options are command line, file based, web based, and database.",
3075809,"Currently, implemented options are command line, file based, web based, and database.",Output,Output,"Through the output component, the architecture provides a generic way to output the response to appropriate audience(s) depending on the use case.",Output,"Similar to the Input component, the output component provides flexibility for the architect to change the destination of produced outputs and to separate the output programming logic from that of other components.",
3075810,"Similar to the Input component, the output component provides flexibility for the architect to change the destination of produced outputs and to separate the output programming logic from that of other components.",Output,Output,"Currently, implemented options are command line, file based, web based, and database.",Pubsub system/Listeners,"In addition to the main pipeline presented above, the proposed system also includes a passive pubsub layer to facilitate monitoring, conversation recording, and independent evaluation of the model.",
3075811,"In addition to the main pipeline presented above, the proposed system also includes a passive pubsub layer to facilitate monitoring, conversation recording, and independent evaluation of the model.",Pubsub system/Listeners,Output,"Similar to the Input component, the output component provides flexibility for the architect to change the destination of produced outputs and to separate the output programming logic from that of other components.",Pubsub system/Listeners,This pubsub system allows the architect to choose or plug in a wide range of peripheral components (called Listeners) to passively monitor the main system for execution behaviors and performance.,
3075812,This pubsub system allows the architect to choose or plug in a wide range of peripheral components (called Listeners) to passively monitor the main system for execution behaviors and performance.,Pubsub system/Listeners,Pubsub system/Listeners,"In addition to the main pipeline presented above, the proposed system also includes a passive pubsub layer to facilitate monitoring, conversation recording, and independent evaluation of the model.",Pubsub system/Listeners,"On top of several default channels (see Operation modes section below) that the system writes to and reads from, users can freely add their own channels to communicate between the main system and the pubsub layer hosting the peripherals. ",
3075813,"On top of several default channels (see Operation modes section below) that the system writes to and reads from, users can freely add their own channels to communicate between the main system and the pubsub layer hosting the peripherals. ",Pubsub system/Listeners,Pubsub system/Listeners,This pubsub system allows the architect to choose or plug in a wide range of peripheral components (called Listeners) to passively monitor the main system for execution behaviors and performance.,Pubsub system/Listeners,"Listeners, as previously mentioned, are optional modules that can be plugged in to passively monitor the system over different channels.",
3075814,"Listeners, as previously mentioned, are optional modules that can be plugged in to passively monitor the system over different channels.",Pubsub system/Listeners,Pubsub system/Listeners,"On top of several default channels (see Operation modes section below) that the system writes to and reads from, users can freely add their own channels to communicate between the main system and the pubsub layer hosting the peripherals. ",Pubsub system/Listeners,"These modules are useful when the architect is interested in observing the system inputs and/or outputs, or visualizing internal parameters or states of the dialogue model at execution time.",
3075815,"These modules are useful when the architect is interested in observing the system inputs and/or outputs, or visualizing internal parameters or states of the dialogue model at execution time.",Pubsub system/Listeners,Pubsub system/Listeners,"Listeners, as previously mentioned, are optional modules that can be plugged in to passively monitor the system over different channels.",Pubsub system/Listeners,Passive monitoring logic can be independently introduced into the system without modifying the other components' implementations.,
3075816,Passive monitoring logic can be independently introduced into the system without modifying the other components' implementations.,Pubsub system/Listeners,Pubsub system/Listeners,"These modules are useful when the architect is interested in observing the system inputs and/or outputs, or visualizing internal parameters or states of the dialogue model at execution time.",Operation modes,"MACA can be operated in three different modes: Data Collection, Training and Execution.",
3075817,MACA offers a unified architecture for dialogue agents that supports the plug-n-play of different types of dialogue agents and different domains.,Discussion,HRED in execution mode,"Further, an overview of MACA with its instantiated components and their roles is provided in Table 4; specification of these attributes within MACA is achieved through the configuration file.  ",Discussion,"We hope that this will facilitate the fast development of new models, but also foster reproducibility in dialogue system research. ",
3075818,"We hope that this will facilitate the fast development of new models, but also foster reproducibility in dialogue system research. ",Discussion,Discussion,MACA offers a unified architecture for dialogue agents that supports the plug-n-play of different types of dialogue agents and different domains.,Discussion,"A few possible limitations in the current implementation of MACA include simplicity of the pubsub system, lack of support for distributed hosting of different components of the architecture, and lack of support for parallel conversations.",
3075819,"A few possible limitations in the current implementation of MACA include simplicity of the pubsub system, lack of support for distributed hosting of different components of the architecture, and lack of support for parallel conversations.",Discussion,Discussion,"We hope that this will facilitate the fast development of new models, but also foster reproducibility in dialogue system research. ",Discussion,"As future work, the pubsub system could be improved by capturing a wider range of system information with more monitoring pubsub channels.",
3075820,"As future work, the pubsub system could be improved by capturing a wider range of system information with more monitoring pubsub channels.",Discussion,Discussion,"A few possible limitations in the current implementation of MACA include simplicity of the pubsub system, lack of support for distributed hosting of different components of the architecture, and lack of support for parallel conversations.",Discussion,"In addition, we plan to incorporate new domains and agents as they become available, along with comprehensive ML based slot-disambiguation modules.",
3075821,"In addition, we plan to incorporate new domains and agents as they become available, along with comprehensive ML based slot-disambiguation modules.",Discussion,Discussion,"As future work, the pubsub system could be improved by capturing a wider range of system information with more monitoring pubsub channels.",,,
8054469,  The multi-format information extraction task in the 2021 Language and Intelligence Challenge is designed to comprehensively evaluate information extraction from different dimensions.,abstract,,,abstract,It consists of an multiple slots relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,
8054470,It consists of an multiple slots relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,abstract,abstract,  The multi-format information extraction task in the 2021 Language and Intelligence Challenge is designed to comprehensively evaluate information extraction from different dimensions.,abstract,Here we describe our system for this multi-format information extraction competition task.,
8054471,Here we describe our system for this multi-format information extraction competition task.,abstract,abstract,It consists of an multiple slots relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,abstract,"Specifically, for the relation extraction subtask, we convert it to a traditional triple extraction task and design a voting based method that makes full use of existing models. ",
8054472,"Specifically, for the relation extraction subtask, we convert it to a traditional triple extraction task and design a voting based method that makes full use of existing models. ",abstract,abstract,Here we describe our system for this multi-format information extraction competition task.,abstract,"For the sentence-level event extraction subtask, we convert it to a NER task and use a pointer labeling based method for extraction.",
8054473,"For the sentence-level event extraction subtask, we convert it to a NER task and use a pointer labeling based method for extraction.",abstract,abstract,"Specifically, for the relation extraction subtask, we convert it to a traditional triple extraction task and design a voting based method that makes full use of existing models. ",abstract,"Furthermore, considering the annotated trigger information may be helpful for event extraction, we design an auxiliary trigger recognition model and use the multi-task learning mechanism to integrate the trigger features into the event extraction model.",
8054474,"Furthermore, considering the annotated trigger information may be helpful for event extraction, we design an auxiliary trigger recognition model and use the multi-task learning mechanism to integrate the trigger features into the event extraction model.",abstract,abstract,"For the sentence-level event extraction subtask, we convert it to a NER task and use a pointer labeling based method for extraction.",abstract,"For the document-level event extraction subtask, we design an Encoder-Decoder based method and propose a Transformer-alike decoder. ",
8054475,"For the document-level event extraction subtask, we design an Encoder-Decoder based method and propose a Transformer-alike decoder. ",abstract,abstract,"Furthermore, considering the annotated trigger information may be helpful for event extraction, we design an auxiliary trigger recognition model and use the multi-task learning mechanism to integrate the trigger features into the event extraction model.",abstract,"Finally,our system ranks No.4 on the test set leader-board of this multi-format information extraction task, and its F1 scores for the subtasks of relation extraction, event extractions of sentence-level and document-level are 79.887%, 85.179%, and 70.828% respectively.",
8054476,"Finally,our system ranks No.4 on the test set leader-board of this multi-format information extraction task, and its F1 scores for the subtasks of relation extraction, event extractions of sentence-level and document-level are 79.887%, 85.179%, and 70.828% respectively.",abstract,abstract,"For the document-level event extraction subtask, we design an Encoder-Decoder based method and propose a Transformer-alike decoder. ",abstract,The codes of our model are available at {https://github.com/neukg/MultiIE}. ,
8054477,The codes of our model are available at {https://github.com/neukg/MultiIE}. ,abstract,abstract,"Finally,our system ranks No.4 on the test set leader-board of this multi-format information extraction task, and its F1 scores for the subtasks of relation extraction, event extractions of sentence-level and document-level are 79.887%, 85.179%, and 70.828% respectively.",Introduction,Information extraction (IE) aims to extract structured knowledge from unstructured texts.,
8054478,Information extraction (IE) aims to extract structured knowledge from unstructured texts.,Introduction,abstract,The codes of our model are available at {https://github.com/neukg/MultiIE}. ,Introduction,"Named entity recognition (NER), relation extraction (RE) and event extraction (EE) are some fundamental information extraction tasks that focus on extracting entities, relations and events respectively.",
8054479,"Named entity recognition (NER), relation extraction (RE) and event extraction (EE) are some fundamental information extraction tasks that focus on extracting entities, relations and events respectively.",Introduction,Introduction,Information extraction (IE) aims to extract structured knowledge from unstructured texts.,Introduction,"However, most researches only focus on extracting information in a single format, while lacking a unified †",
8054480,"However, most researches only focus on extracting information in a single format, while lacking a unified †",Introduction,Introduction,"Named entity recognition (NER), relation extraction (RE) and event extraction (EE) are some fundamental information extraction tasks that focus on extracting entities, relations and events respectively.",Introduction,These authors contribute equally to this research and are listed randomly.,
8054481,These authors contribute equally to this research and are listed randomly.,Introduction,Introduction,"However, most researches only focus on extracting information in a single format, while lacking a unified †",Introduction,Corresponding author. evaluation platform for IE in different formats.,
8054482,Corresponding author. evaluation platform for IE in different formats.,Introduction,Introduction,These authors contribute equally to this research and are listed randomly.,Introduction,Thus the 2021 Language and Intelligence Challenge (LIC-2021) sets up a multi-format IE competition task which is designed to comprehensively evaluate IE from different dimensions.,
8054483,Thus the 2021 Language and Intelligence Challenge (LIC-2021) sets up a multi-format IE competition task which is designed to comprehensively evaluate IE from different dimensions.,Introduction,Introduction,Corresponding author. evaluation platform for IE in different formats.,Introduction,The task consists of a relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,
8054484,The task consists of a relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,Introduction,Introduction,Thus the 2021 Language and Intelligence Challenge (LIC-2021) sets up a multi-format IE competition task which is designed to comprehensively evaluate IE from different dimensions.,Introduction,The definitions of these subtasks are as follows 1 . Relation Extraction is a task that aims to extract all SPO triples from a given sentence according to a predefined schema set.,
8054485,The definitions of these subtasks are as follows 1 . Relation Extraction is a task that aims to extract all SPO triples from a given sentence according to a predefined schema set.,Introduction,Introduction,The task consists of a relation extraction subtask and two event extraction subtasks that extract events from both sentence-level and document-level.,Introduction,The schema set defines relation P and the types of its corresponding subject S and object O.,
8054486,The schema set defines relation P and the types of its corresponding subject S and object O.,Introduction,Introduction,The definitions of these subtasks are as follows 1 . Relation Extraction is a task that aims to extract all SPO triples from a given sentence according to a predefined schema set.,Introduction,"According to the complexity of object O, there are two types of schemas.",
8054487,"According to the complexity of object O, there are two types of schemas.",Introduction,Introduction,The schema set defines relation P and the types of its corresponding subject S and object O.,Introduction,The first one is the single-O-value schema in which the object O gets only a single slot and value.,
8054488,The first one is the single-O-value schema in which the object O gets only a single slot and value.,Introduction,Introduction,"According to the complexity of object O, there are two types of schemas.",Introduction,The second one is the schema in which the object O is a structure composed of multiple slots and their corresponding values. ,
8054489,The second one is the schema in which the object O is a structure composed of multiple slots and their corresponding values. ,Introduction,Introduction,The first one is the single-O-value schema in which the object O gets only a single slot and value.,Introduction,Event Extraction consists of two subtasks.,
8054490,Event Extraction consists of two subtasks.,Introduction,Introduction,The second one is the schema in which the object O is a structure composed of multiple slots and their corresponding values. ,Introduction,"The first one is the sentencelevel event (SEE) extraction whose aim is that given a sentence and predefined event types with corresponding argument roles, to identify all events of target types mentioned in the sentence, and extract corresponding event arguments playing target roles.",
8054491,"The first one is the sentencelevel event (SEE) extraction whose aim is that given a sentence and predefined event types with corresponding argument roles, to identify all events of target types mentioned in the sentence, and extract corresponding event arguments playing target roles.",Introduction,Introduction,Event Extraction consists of two subtasks.,Introduction,The predefined event types and argument roles restrict the scope of extraction.,
8054492,The predefined event types and argument roles restrict the scope of extraction.,Introduction,Introduction,"The first one is the sentencelevel event (SEE) extraction whose aim is that given a sentence and predefined event types with corresponding argument roles, to identify all events of target types mentioned in the sentence, and extract corresponding event arguments playing target roles.",Introduction,"The second one is the document-level event (DEE) extraction task, which shares almost the same definition with the previous one, but considers input text fragments in document-level rather than sentence-level, and restricts the event types to be extracted in the financial field. ",
8054493,"The second one is the document-level event (DEE) extraction task, which shares almost the same definition with the previous one, but considers input text fragments in document-level rather than sentence-level, and restricts the event types to be extracted in the financial field. ",Introduction,Introduction,The predefined event types and argument roles restrict the scope of extraction.,Introduction,Table 1 demonstrates some schema examples for these subtasks.,
8054494,Table 1 demonstrates some schema examples for these subtasks.,Introduction,Introduction,"The second one is the document-level event (DEE) extraction task, which shares almost the same definition with the previous one, but considers input text fragments in document-level rather than sentence-level, and restricts the event types to be extracted in the financial field. ",Introduction,"For example, in the given multiple-O-values schema RE example, the object consists of two items: inWork and @value, but traditional RE may only get @value item in this example.",
8054495,"For example, in the given multiple-O-values schema RE example, the object consists of two items: inWork and @value, but traditional RE may only get @value item in this example.",Introduction,Introduction,Table 1 demonstrates some schema examples for these subtasks.,Introduction,"Compared with traditional single-format IE task, there are following challenges in the multi-format IE task designed in LIC-2021. ",
8054496,"Compared with traditional single-format IE task, there are following challenges in the multi-format IE task designed in LIC-2021. ",Introduction,Introduction,"For example, in the given multiple-O-values schema RE example, the object consists of two items: inWork and @value, but traditional RE may only get @value item in this example.",Introduction,"First, despite the success of existing joint entity and relation extraction methods, they cannot be directly applied to the multiple slots RE task in LIC-2021 because of the multiple-O-values schema relations. ",
8054497,"First, despite the success of existing joint entity and relation extraction methods, they cannot be directly applied to the multiple slots RE task in LIC-2021 because of the multiple-O-values schema relations. ",Introduction,Introduction,"Compared with traditional single-format IE task, there are following challenges in the multi-format IE task designed in LIC-2021. ",Introduction,"Second, the event extraction is more challenging due to the overlapping event role issue: an argument may have multiple roles.",
8054498,"Second, the event extraction is more challenging due to the overlapping event role issue: an argument may have multiple roles.",Introduction,Introduction,"First, despite the success of existing joint entity and relation extraction methods, they cannot be directly applied to the multiple slots RE task in LIC-2021 because of the multiple-O-values schema relations. ",Introduction,"Besides, there are annotated triggers provided in the given datasets, and how to effectively use this kind of trigger information is still an open issue. ",
8054499,"Besides, there are annotated triggers provided in the given datasets, and how to effectively use this kind of trigger information is still an open issue. ",Introduction,Introduction,"Second, the event extraction is more challenging due to the overlapping event role issue: an argument may have multiple roles.",Introduction,"Third, it is difficult to extract different events that have the same event type in the DEE subtask.",
8054500,"Third, it is difficult to extract different events that have the same event type in the DEE subtask.",Introduction,Introduction,"Besides, there are annotated triggers provided in the given datasets, and how to effectively use this kind of trigger information is still an open issue. ",Introduction,"For example, for the ""be interviewed "" event type shown in Table 1, different people maybe interviewed at different time.",
8054501,"For example, for the ""be interviewed "" event type shown in Table 1, different people maybe interviewed at different time.",Introduction,Introduction,"Third, it is difficult to extract different events that have the same event type in the DEE subtask.",Introduction,"For this case, in the SEE subtask, two different time arguments and two interviewed people are regarded as arguments for the same event.",
8054502,"For this case, in the SEE subtask, two different time arguments and two interviewed people are regarded as arguments for the same event.",Introduction,Introduction,"For example, for the ""be interviewed "" event type shown in Table 1, different people maybe interviewed at different time.",Introduction,"However, these two arguments need to be classified into arguments of two different events in the DEE subtask. ",
8054503,"However, these two arguments need to be classified into arguments of two different events in the DEE subtask. ",Introduction,Introduction,"For this case, in the SEE subtask, two different time arguments and two interviewed people are regarded as arguments for the same event.",Introduction,"In our system, we use some effective methods to overcome these challenges.",
8054504,"In our system, we use some effective methods to overcome these challenges.",Introduction,Introduction,"However, these two arguments need to be classified into arguments of two different events in the DEE subtask. ",Introduction,"Specifically, for the first one, we design a schema disintegration module to convert each multiple-O-values relation into several single-O-value relations, then use a voting based module to obtain the final relations.",
8054505,"Specifically, for the first one, we design a schema disintegration module to convert each multiple-O-values relation into several single-O-value relations, then use a voting based module to obtain the final relations.",Introduction,Introduction,"In our system, we use some effective methods to overcome these challenges.",Introduction,"For the second one, we convert  [1] and [13]) focus on SEE.",
8054506,"For the second one, we convert  [1] and [13]) focus on SEE.",Introduction,Introduction,"Specifically, for the first one, we design a schema disintegration module to convert each multiple-O-values relation into several single-O-value relations, then use a voting based module to obtain the final relations.",Introduction,"Usually, they use a pipeline based framework that predicts triggers firstly, and then predict arguments.",
8054507,"Usually, they use a pipeline based framework that predicts triggers firstly, and then predict arguments.",Introduction,Introduction,"For the second one, we convert  [1] and [13]) focus on SEE.",Introduction,"Recently, DEE is attracting more and more attentions.",
8054508,"Recently, DEE is attracting more and more attentions.",Introduction,Introduction,"Usually, they use a pipeline based framework that predicts triggers firstly, and then predict arguments.",Introduction,"Usually there are two main challenges in DEE, which are: (i) arguments of one event may scatter across some long-distance sentences of a document or even different documents, and (ii) each document is likely to contain multiple events.",
8054509,"Usually there are two main challenges in DEE, which are: (i) arguments of one event may scatter across some long-distance sentences of a document or even different documents, and (ii) each document is likely to contain multiple events.",Introduction,Introduction,"Recently, DEE is attracting more and more attentions.",Introduction,"A representative Chinese DEE work is [17], whose DEE model contains two main components: a SEE model that extracts event arguments and event triggers from a sentence; and a DEE model that extracts event arguments from the whole document based on a key event detection model and an arguments-completion strategy.",
8054510,"A representative Chinese DEE work is [17], whose DEE model contains two main components: a SEE model that extracts event arguments and event triggers from a sentence; and a DEE model that extracts event arguments from the whole document based on a key event detection model and an arguments-completion strategy.",Introduction,Introduction,"Usually there are two main challenges in DEE, which are: (i) arguments of one event may scatter across some long-distance sentences of a document or even different documents, and (ii) each document is likely to contain multiple events.",Introduction,"Another representative Chinese DEE work is [20], which uses an entity-based directed acyclic graph to fulfill the DEE task effectively.",
8054511,"Another representative Chinese DEE work is [20], which uses an entity-based directed acyclic graph to fulfill the DEE task effectively.",Introduction,Introduction,"A representative Chinese DEE work is [17], whose DEE model contains two main components: a SEE model that extracts event arguments and event triggers from a sentence; and a DEE model that extracts event arguments from the whole document based on a key event detection model and an arguments-completion strategy.",Introduction,"Moreover, they redefine a DEE task with the no-trigger-words design to ease document-level event labeling.",
8054512,"Moreover, they redefine a DEE task with the no-trigger-words design to ease document-level event labeling.",Introduction,Introduction,"Another representative Chinese DEE work is [20], which uses an entity-based directed acyclic graph to fulfill the DEE task effectively.",Introduction,Both of these two DEE work are evaluated on Chinese financial field.,
8054513,Both of these two DEE work are evaluated on Chinese financial field.,Introduction,Introduction,"Moreover, they redefine a DEE task with the no-trigger-words design to ease document-level event labeling.",Relation Extraction,The architecture of our RE model is shown in Fig 1 .,
8054514,The architecture of our RE model is shown in Fig 1 .,Relation Extraction,Introduction,Both of these two DEE work are evaluated on Chinese financial field.,Relation Extraction,We can see that it consists of two main modules: a schema disintegration module and a voting module. ,
8054515,We can see that it consists of two main modules: a schema disintegration module and a voting module. ,Relation Extraction,Relation Extraction,The architecture of our RE model is shown in Fig 1 .,Relation Extraction,"Given a multiple-O-values triple 2 {s, p, [(o k1 , o v1 ), ..., (o km , o vm )]}, the schema disintegration module would transform it into 2m-1 single-O-value triples.",
8054516,"Given a multiple-O-values triple 2 {s, p, [(o k1 , o v1 ), ..., (o km , o vm )]}, the schema disintegration module would transform it into 2m-1 single-O-value triples.",Relation Extraction,Relation Extraction,We can see that it consists of two main modules: a schema disintegration module and a voting module. ,Relation Extraction,The concrete transformation process is as follows.,
8054517,The concrete transformation process is as follows.,Relation Extraction,Relation Extraction,"Given a multiple-O-values triple 2 {s, p, [(o k1 , o v1 ), ..., (o km , o vm )]}, the schema disintegration module would transform it into 2m-1 single-O-value triples.",Relation Extraction,"First, o v1 will be taken as an object to form a triple {s, p, o v1 }.",
8054518,"First, o v1 will be taken as an object to form a triple {s, p, o v1 }.",Relation Extraction,Relation Extraction,The concrete transformation process is as follows.,Relation Extraction,"Then from i = 2 on, each (o ki , o vi ) will form following two triples: {s, p-o ki , o vi } and {o v1 , o ki , o vi }.",
8054519,"Then from i = 2 on, each (o ki , o vi ) will form following two triples: {s, p-o ki , o vi } and {o v1 , o ki , o vi }.",Relation Extraction,Relation Extraction,"First, o v1 will be taken as an object to form a triple {s, p, o v1 }.",Relation Extraction,"Here both s and o v1 will be repeatedly taken as subjects in the formed triples, and p-o ki is a new generated predicate.",
8054520,"Here both s and o v1 will be repeatedly taken as subjects in the formed triples, and p-o ki is a new generated predicate.",Relation Extraction,Relation Extraction,"Then from i = 2 on, each (o ki , o vi ) will form following two triples: {s, p-o ki , o vi } and {o v1 , o ki , o vi }.",Relation Extraction,"Accordingly, the given example will generate following triples, which are {s, p, o v1 }, {s, p-o k2 , o v2 }, {o v1 , o k2 , o v2 }, ..., {s, p-o km , o vm }, {o v1 , o km , o vm }. ",
