text,doc_id,paper_title,year,section,prev_text,prev_section,next_text,next_section,label
"Besides, texts from the same subject domain will make use of very different writing styles in terms of sentence types and varieties in language usage according to the genre of the text.",1378168,Domain specific {MT} in use,2008,Domain Issues in SMT,"In addition, subject classification systems do not take into account possible divergences in the data within the same subject domain, e.g. different companies may have chosen to use different specific company terminologies. ",Domain Issues in SMT,"Marketing texts, for instance, may praise the features of the product while manuals focus on strict instructions on how to use the product. ",Domain Issues in SMT,
"Marketing texts, for instance, may praise the features of the product while manuals focus on strict instructions on how to use the product. ",1378169,Domain specific {MT} in use,2008,Domain Issues in SMT,"Besides, texts from the same subject domain will make use of very different writing styles in terms of sentence types and varieties in language usage according to the genre of the text.",Domain Issues in SMT,"Consequently, in principle it would be preferable to train an SMT system on texts with almost identical writing styles and within the same subject domain.",Domain Issues in SMT,
"Consequently, in principle it would be preferable to train an SMT system on texts with almost identical writing styles and within the same subject domain.",1378170,Domain specific {MT} in use,2008,Domain Issues in SMT,"Marketing texts, for instance, may praise the features of the product while manuals focus on strict instructions on how to use the product. ",Domain Issues in SMT,"On the other hand, for practical and financial reasons, it would desirable that the SMT system had a broad coverage being usable for different text types without a negative impact on the translation quality.",Domain Issues in SMT,
"On the other hand, for practical and financial reasons, it would desirable that the SMT system had a broad coverage being usable for different text types without a negative impact on the translation quality.",1378171,Domain specific {MT} in use,2008,Domain Issues in SMT,"Consequently, in principle it would be preferable to train an SMT system on texts with almost identical writing styles and within the same subject domain.",Domain Issues in SMT,"So, the solution is a compromise. ",Domain Issues in SMT,
"So, the solution is a compromise. ",1378172,Domain specific {MT} in use,2008,Domain Issues in SMT,"On the other hand, for practical and financial reasons, it would desirable that the SMT system had a broad coverage being usable for different text types without a negative impact on the translation quality.",Domain Issues in SMT,In general the LSPs are very aware that different products and clients use different writing styles in terms of sentence types and variation in language usage and terminology.,Domain Issues in SMT,
In general the LSPs are very aware that different products and clients use different writing styles in terms of sentence types and variation in language usage and terminology.,1378173,Domain specific {MT} in use,2008,Domain Issues in SMT,"So, the solution is a compromise. ",Domain Issues in SMT,"With a focus on delivering high quality translation, it is obvious that the clients' expectations regarding correct handling of terminology and writing style had to be met, also for the SMT system.",Domain Issues in SMT,
"With a focus on delivering high quality translation, it is obvious that the clients' expectations regarding correct handling of terminology and writing style had to be met, also for the SMT system.",1378174,Domain specific {MT} in use,2008,Domain Issues in SMT,In general the LSPs are very aware that different products and clients use different writing styles in terms of sentence types and variation in language usage and terminology.,Domain Issues in SMT,"Therefore, the researchers and the LSP in collaboration tested the suitability of 5 different sub-domains of manuals to see how well these different sub-domains could be translated with the SMT system.",Domain Issues in SMT,
"Therefore, the researchers and the LSP in collaboration tested the suitability of 5 different sub-domains of manuals to see how well these different sub-domains could be translated with the SMT system.",1378175,Domain specific {MT} in use,2008,Domain Issues in SMT,"With a focus on delivering high quality translation, it is obvious that the clients' expectations regarding correct handling of terminology and writing style had to be met, also for the SMT system.",Domain Issues in SMT,The LSP chose 5 candidate sub-domains within the domain of technical manuals and collected training material for these topics.,Selection of Sub-domains,
The LSP chose 5 candidate sub-domains within the domain of technical manuals and collected training material for these topics.,1378176,Domain specific {MT} in use,2008,Selection of Sub-domains,"Therefore, the researchers and the LSP in collaboration tested the suitability of 5 different sub-domains of manuals to see how well these different sub-domains could be translated with the SMT system.",Domain Issues in SMT,"The training data were aligned sentences extracted from the LSP's translation memories (TMs) and consisted of approximately 135,000 parallel sentences.",Selection of Sub-domains,
"The training data were aligned sentences extracted from the LSP's translation memories (TMs) and consisted of approximately 135,000 parallel sentences.",1378177,Domain specific {MT} in use,2008,Selection of Sub-domains,The LSP chose 5 candidate sub-domains within the domain of technical manuals and collected training material for these topics.,Selection of Sub-domains,From each sub-domain a development test corpus of 250 test sentences was extracted.,Selection of Sub-domains,
From each sub-domain a development test corpus of 250 test sentences was extracted.,1378178,Domain specific {MT} in use,2008,Selection of Sub-domains,"The training data were aligned sentences extracted from the LSP's translation memories (TMs) and consisted of approximately 135,000 parallel sentences.",Selection of Sub-domains,To do a quick evaluation of the system it was decided to score the translation output with the two automatic metrics BLEU,Selection of Sub-domains,
To do a quick evaluation of the system it was decided to score the translation output with the two automatic metrics BLEU,1378179,Domain specific {MT} in use,2008,Selection of Sub-domains,From each sub-domain a development test corpus of 250 test sentences was extracted.,Selection of Sub-domains,"As can be seen the subdomain with the best score is B, the second best score is found for sub-domain E, where a high figure for BLEU and a low figure for TER state that the translation output is closer to the reference, cf. table 2 below.",Selection of Sub-domains,
"As can be seen the subdomain with the best score is B, the second best score is found for sub-domain E, where a high figure for BLEU and a low figure for TER state that the translation output is closer to the reference, cf. table 2 below.",1378180,Domain specific {MT} in use,2008,Selection of Sub-domains,To do a quick evaluation of the system it was decided to score the translation output with the two automatic metrics BLEU,Selection of Sub-domains,"Based on this evaluation, the sub-domains B, E and D seemed to the best candidates to focus on.",Selection of Sub-domains,
"Based on this evaluation, the sub-domains B, E and D seemed to the best candidates to focus on.",1378181,Domain specific {MT} in use,2008,Selection of Sub-domains,"As can be seen the subdomain with the best score is B, the second best score is found for sub-domain E, where a high figure for BLEU and a low figure for TER state that the translation output is closer to the reference, cf. table 2 below.",Selection of Sub-domains,"For sub-domain B, however, the client had already started to use MT and an additional SMT system for this sub-domain therefore turned out to be without interest.",Selection of Sub-domains,
"For sub-domain B, however, the client had already started to use MT and an additional SMT system for this sub-domain therefore turned out to be without interest.",1378182,Domain specific {MT} in use,2008,Selection of Sub-domains,"Based on this evaluation, the sub-domains B, E and D seemed to the best candidates to focus on.",Selection of Sub-domains,"The LSP chose to focus on sub-domain E, since sub-domain D has shorter sentences and better match in TM.",Selection of Sub-domains,
"The LSP chose to focus on sub-domain E, since sub-domain D has shorter sentences and better match in TM.",1378183,Domain specific {MT} in use,2008,Selection of Sub-domains,"For sub-domain B, however, the client had already started to use MT and an additional SMT system for this sub-domain therefore turned out to be without interest.",Selection of Sub-domains,The focus point of MT evaluation differs dependent on your perspective.,Evaluation Test Results,
The focus point of MT evaluation differs dependent on your perspective.,1378184,Domain specific {MT} in use,2008,Evaluation Test Results,"The LSP chose to focus on sub-domain E, since sub-domain D has shorter sentences and better match in TM.",Selection of Sub-domains,"From the developers' point of view, evaluation as part of testing the MT system has to be quick and cheap.",Evaluation Test Results,
"From the developers' point of view, evaluation as part of testing the MT system has to be quick and cheap.",1378185,Domain specific {MT} in use,2008,Evaluation Test Results,The focus point of MT evaluation differs dependent on your perspective.,Evaluation Test Results,"While from the users' point of view, the evaluation has to focus on easier use, better translation quality, quicker post-editing etc.",Evaluation Test Results,
"While from the users' point of view, the evaluation has to focus on easier use, better translation quality, quicker post-editing etc.",1378186,Domain specific {MT} in use,2008,Evaluation Test Results,"From the developers' point of view, evaluation as part of testing the MT system has to be quick and cheap.",Evaluation Test Results,We have carried out both types of evaluation and compared results.,Evaluation Test Results,
We have carried out both types of evaluation and compared results.,1378187,Domain specific {MT} in use,2008,Evaluation Test Results,"While from the users' point of view, the evaluation has to focus on easier use, better translation quality, quicker post-editing etc.",Evaluation Test Results,For the system developer and for system tuning the goal is to have automatic metrics that give reproducible results and save users from doing expensive post-editing tasks in each iteration of system improvements.,Automatic evaluation measures,
For the system developer and for system tuning the goal is to have automatic metrics that give reproducible results and save users from doing expensive post-editing tasks in each iteration of system improvements.,1378188,Domain specific {MT} in use,2008,Automatic evaluation measures,We have carried out both types of evaluation and compared results.,Evaluation Test Results,"Two automatic evaluation metrics were used: BLEU metric [5] and Translation Edit Rate, TER",Automatic evaluation measures,
"Two automatic evaluation metrics were used: BLEU metric [5] and Translation Edit Rate, TER",1378189,Domain specific {MT} in use,2008,Automatic evaluation measures,For the system developer and for system tuning the goal is to have automatic metrics that give reproducible results and save users from doing expensive post-editing tasks in each iteration of system improvements.,Automatic evaluation measures,"[6] There has been much focus on evaluation of SMT and MT-systems in the last decades [7], [8], [9].",Automatic evaluation measures,
"[6] There has been much focus on evaluation of SMT and MT-systems in the last decades [7], [8], [9].",1378190,Domain specific {MT} in use,2008,Automatic evaluation measures,"Two automatic evaluation metrics were used: BLEU metric [5] and Translation Edit Rate, TER",Automatic evaluation measures,"For a brief overview of other currently used evaluation metrics used for SMT and MT and recent experiences within the field, see [10] and [11].",Automatic evaluation measures,
"For a brief overview of other currently used evaluation metrics used for SMT and MT and recent experiences within the field, see [10] and [11].",1378191,Domain specific {MT} in use,2008,Automatic evaluation measures,"[6] There has been much focus on evaluation of SMT and MT-systems in the last decades [7], [8], [9].",Automatic evaluation measures,"The two selected metrics were chosen because they are easy for the developer to apply, given a translation reference.",Automatic evaluation measures,
"The two selected metrics were chosen because they are easy for the developer to apply, given a translation reference.",1378192,Domain specific {MT} in use,2008,Automatic evaluation measures,"For a brief overview of other currently used evaluation metrics used for SMT and MT and recent experiences within the field, see [10] and [11].",Automatic evaluation measures,It has been argued that an increase/decrease in the value of the BLEU score does not guarantee a better/worse translation quality [13].,Automatic evaluation measures,
It has been argued that an increase/decrease in the value of the BLEU score does not guarantee a better/worse translation quality [13].,1378193,Domain specific {MT} in use,2008,Automatic evaluation measures,"The two selected metrics were chosen because they are easy for the developer to apply, given a translation reference.",Automatic evaluation measures,"But nevertheless, the metric is still widely used to measure development improvements in systems.",Automatic evaluation measures,
"But nevertheless, the metric is still widely used to measure development improvements in systems.",1378194,Domain specific {MT} in use,2008,Automatic evaluation measures,It has been argued that an increase/decrease in the value of the BLEU score does not guarantee a better/worse translation quality [13].,Automatic evaluation measures,"TER is calculated as the ratio of edits (insertions, deletions and substitutions of single words as well as shifts of word sequences) compared to the average number of words in the references.",Automatic evaluation measures,
"TER is calculated as the ratio of edits (insertions, deletions and substitutions of single words as well as shifts of word sequences) compared to the average number of words in the references.",1378195,Domain specific {MT} in use,2008,Automatic evaluation measures,"But nevertheless, the metric is still widely used to measure development improvements in systems.",Automatic evaluation measures,TER is stated to correlate reasonably well with human judgements,Automatic evaluation measures,
TER is stated to correlate reasonably well with human judgements,1378196,Domain specific {MT} in use,2008,Automatic evaluation measures,"TER is calculated as the ratio of edits (insertions, deletions and substitutions of single words as well as shifts of word sequences) compared to the average number of words in the references.",Automatic evaluation measures,"TER values will be in the range from 0 (translated sentence is exactly like the reference) to in principle more that 100, e.g. if the reference sentence consists of only a few words whereas the translation output contains too many words and therefore needs more edits that the length of the reference sentence.",Automatic evaluation measures,
"TER values will be in the range from 0 (translated sentence is exactly like the reference) to in principle more that 100, e.g. if the reference sentence consists of only a few words whereas the translation output contains too many words and therefore needs more edits that the length of the reference sentence.",1378197,Domain specific {MT} in use,2008,Automatic evaluation measures,TER is stated to correlate reasonably well with human judgements,Automatic evaluation measures,"From a user's point of view, automatic evaluation figures are somewhat abstract and difficult to comprehend and do not necessarily provide feedback to the questions raised above.",User evaluation measures,
"From a user's point of view, automatic evaluation figures are somewhat abstract and difficult to comprehend and do not necessarily provide feedback to the questions raised above.",1378198,Domain specific {MT} in use,2008,User evaluation measures,"TER values will be in the range from 0 (translated sentence is exactly like the reference) to in principle more that 100, e.g. if the reference sentence consists of only a few words whereas the translation output contains too many words and therefore needs more edits that the length of the reference sentence.",Automatic evaluation measures,Alternative evaluation metrics focussing much more on the human translation aspect have conceived in order to meet this problem.,User evaluation measures,
Alternative evaluation metrics focussing much more on the human translation aspect have conceived in order to meet this problem.,1378199,Domain specific {MT} in use,2008,User evaluation measures,"From a user's point of view, automatic evaluation figures are somewhat abstract and difficult to comprehend and do not necessarily provide feedback to the questions raised above.",User evaluation measures,The following metrics represent this alternative evaluation approach:  Fluency and adequacy scoring ,User evaluation measures,
The following metrics represent this alternative evaluation approach:  Fluency and adequacy scoring ,1378200,Domain specific {MT} in use,2008,User evaluation measures,Alternative evaluation metrics focussing much more on the human translation aspect have conceived in order to meet this problem.,User evaluation measures,Usability scoring  Post-editing time Fluency and adequacy have been defined using a five point scale [8].,User evaluation measures,
Usability scoring  Post-editing time Fluency and adequacy have been defined using a five point scale [8].,1378201,Domain specific {MT} in use,2008,User evaluation measures,The following metrics represent this alternative evaluation approach:  Fluency and adequacy scoring ,User evaluation measures,"Recent studies show that scores for fluency and adequacy apparently do not correlate very well between users 1 , and therefore these score results would be more difficult to use for system testing and tuning.",User evaluation measures,
"Recent studies show that scores for fluency and adequacy apparently do not correlate very well between users 1 , and therefore these score results would be more difficult to use for system testing and tuning.",1378202,Domain specific {MT} in use,2008,User evaluation measures,Usability scoring  Post-editing time Fluency and adequacy have been defined using a five point scale [8].,User evaluation measures,The LSP post-editors involved in evaluating SMT output stated that a five point scale would be much too difficult to use.,User evaluation measures,
The LSP post-editors involved in evaluating SMT output stated that a five point scale would be much too difficult to use.,1378203,Domain specific {MT} in use,2008,User evaluation measures,"Recent studies show that scores for fluency and adequacy apparently do not correlate very well between users 1 , and therefore these score results would be more difficult to use for system testing and tuning.",User evaluation measures,We therefore reduced the scale to a four point scale which gave the users an easier job and thereby probably more reliable results. ,User evaluation measures,
We therefore reduced the scale to a four point scale which gave the users an easier job and thereby probably more reliable results. ,1378204,Domain specific {MT} in use,2008,User evaluation measures,The LSP post-editors involved in evaluating SMT output stated that a five point scale would be much too difficult to use.,User evaluation measures,The measure that the users suggested themselves is here called Usability.,User evaluation measures,
The measure that the users suggested themselves is here called Usability.,1378205,Domain specific {MT} in use,2008,User evaluation measures,We therefore reduced the scale to a four point scale which gave the users an easier job and thereby probably more reliable results. ,User evaluation measures,"In an LSP environment, the conventional translation platform is a TM platform.",User evaluation measures,
"In an LSP environment, the conventional translation platform is a TM platform.",1378206,Domain specific {MT} in use,2008,User evaluation measures,The measure that the users suggested themselves is here called Usability.,User evaluation measures,'Usability' is a measure that allows post-editors to score a machine-translated translation unit in terms of usability compared to a fuzzy match in a TM tool.,User evaluation measures,
'Usability' is a measure that allows post-editors to score a machine-translated translation unit in terms of usability compared to a fuzzy match in a TM tool.,1378207,Domain specific {MT} in use,2008,User evaluation measures,"In an LSP environment, the conventional translation platform is a TM platform.",User evaluation measures,"A machine-translated translation unit may not be adequate or fluent, but it may be usable.",User evaluation measures,
"A machine-translated translation unit may not be adequate or fluent, but it may be usable.",1378208,Domain specific {MT} in use,2008,User evaluation measures,'Usability' is a measure that allows post-editors to score a machine-translated translation unit in terms of usability compared to a fuzzy match in a TM tool.,User evaluation measures,"When it is usable, the time needed to edit the machine-translated translation unit will be shorter than the time needed to translate the segment from scratch.",User evaluation measures,
"When it is usable, the time needed to edit the machine-translated translation unit will be shorter than the time needed to translate the segment from scratch.",1378209,Domain specific {MT} in use,2008,User evaluation measures,"A machine-translated translation unit may not be adequate or fluent, but it may be usable.",User evaluation measures,It is in this context defined as a three point scale.,User evaluation measures,
It is in this context defined as a three point scale.,1378210,Domain specific {MT} in use,2008,User evaluation measures,"When it is usable, the time needed to edit the machine-translated translation unit will be shorter than the time needed to translate the segment from scratch.",User evaluation measures,"The scale is focused on the post-editing process, and the user can use the following scores: 3: Good translation -few key strokes needed to edit translation.",User evaluation measures,
"The scale is focused on the post-editing process, and the user can use the following scores: 3: Good translation -few key strokes needed to edit translation.",1378211,Domain specific {MT} in use,2008,User evaluation measures,It is in this context defined as a three point scale.,User evaluation measures,Corrections of casing or layout can be needed.,User evaluation measures,
Corrections of casing or layout can be needed.,1378212,Domain specific {MT} in use,2008,User evaluation measures,"The scale is focused on the post-editing process, and the user can use the following scores: 3: Good translation -few key strokes needed to edit translation.",User evaluation measures,Use of terminology is correct. ,User evaluation measures,
Use of terminology is correct. ,1378213,Domain specific {MT} in use,2008,User evaluation measures,Corrections of casing or layout can be needed.,User evaluation measures,2: Translation can be post-edited using less time than a translation of the sentence from scratch -number of key strokes needed to edit translation is less than the key strokes needed to translate from scratch. ,User evaluation measures,
2: Translation can be post-edited using less time than a translation of the sentence from scratch -number of key strokes needed to edit translation is less than the key strokes needed to translate from scratch. ,1378214,Domain specific {MT} in use,2008,User evaluation measures,Use of terminology is correct. ,User evaluation measures,1: Translation quality is too poor.,User evaluation measures,
1: Translation quality is too poor.,1378215,Domain specific {MT} in use,2008,User evaluation measures,2: Translation can be post-edited using less time than a translation of the sentence from scratch -number of key strokes needed to edit translation is less than the key strokes needed to translate from scratch. ,User evaluation measures,"It will take more time to post-edit the sentence, than to translate the sentence from the source sentence -translation is discarded. ",User evaluation measures,
"It will take more time to post-edit the sentence, than to translate the sentence from the source sentence -translation is discarded. ",1378216,Domain specific {MT} in use,2008,User evaluation measures,1: Translation quality is too poor.,User evaluation measures,"The post-editors at the LSP found this scoring very useful as it is closely connected to their translation workflow, no matter whether they use TM as their translation tool or post-edit MT-output. ",User evaluation measures,
"The post-editors at the LSP found this scoring very useful as it is closely connected to their translation workflow, no matter whether they use TM as their translation tool or post-edit MT-output. ",1378217,Domain specific {MT} in use,2008,User evaluation measures,"It will take more time to post-edit the sentence, than to translate the sentence from the source sentence -translation is discarded. ",User evaluation measures,"The judgement tool for usability, adequacy and fluency shows the source sentence and the translation output.",User evaluation measures,
"The judgement tool for usability, adequacy and fluency shows the source sentence and the translation output.",1378218,Domain specific {MT} in use,2008,User evaluation measures,"The post-editors at the LSP found this scoring very useful as it is closely connected to their translation workflow, no matter whether they use TM as their translation tool or post-edit MT-output. ",User evaluation measures,The time used to do the scoring of all three measures is also measured.,User evaluation measures,
The time used to do the scoring of all three measures is also measured.,1378219,Domain specific {MT} in use,2008,User evaluation measures,"The judgement tool for usability, adequacy and fluency shows the source sentence and the translation output.",User evaluation measures,The goal of doing user evaluation is first of all to give the users tools to evaluate the SMT output in order to give feedback to system development and secondly to compare the judgements with the figures from automatic evaluation.,User evaluation measures,
The goal of doing user evaluation is first of all to give the users tools to evaluate the SMT output in order to give feedback to system development and secondly to compare the judgements with the figures from automatic evaluation.,1378220,Domain specific {MT} in use,2008,User evaluation measures,The time used to do the scoring of all three measures is also measured.,User evaluation measures,"As human evaluation is costly, we present the results we got in all the evaluation tasks although the amount of data is small.",User evaluation measures,
"As human evaluation is costly, we present the results we got in all the evaluation tasks although the amount of data is small.",1378221,Domain specific {MT} in use,2008,User evaluation measures,The goal of doing user evaluation is first of all to give the users tools to evaluate the SMT output in order to give feedback to system development and secondly to compare the judgements with the figures from automatic evaluation.,User evaluation measures,The test involved three in-house post-editors.,User evaluation measures,
The test involved three in-house post-editors.,1378222,Domain specific {MT} in use,2008,User evaluation measures,"As human evaluation is costly, we present the results we got in all the evaluation tasks although the amount of data is small.",User evaluation measures,All of them were experienced proof-readers.,User evaluation measures,
All of them were experienced proof-readers.,1378223,Domain specific {MT} in use,2008,User evaluation measures,The test involved three in-house post-editors.,User evaluation measures,Two of them were domain specialists.,User evaluation measures,
Two of them were domain specialists.,1378224,Domain specific {MT} in use,2008,User evaluation measures,All of them were experienced proof-readers.,User evaluation measures,One post-editor was a general quality assurance specialist. ,User evaluation measures,
One post-editor was a general quality assurance specialist. ,1378225,Domain specific {MT} in use,2008,User evaluation measures,Two of them were domain specialists.,User evaluation measures,"In table 3 the average scores for usability, adequacy and fluency together with the BLEU and TER scores are given.",User evaluation measures,
"In table 3 the average scores for usability, adequacy and fluency together with the BLEU and TER scores are given.",1378226,Domain specific {MT} in use,2008,User evaluation measures,One post-editor was a general quality assurance specialist. ,User evaluation measures,The BLEU and TER scores are not as good for the test sets as for the development test set.,User evaluation measures,
