doccano_art_id,sentence_id,text,label
1,32,"In SCFGs, the elementary structures used in translation are synchronous rewrite rules with aligned pairs of source and target symbols on the right-hand side: X → ⟨ s, t ⟩ (1) where X is the head symbol of the rewrite rule, and s and t are both strings of terminals and nonterminals on the source and target side respectively.",NC
1,33,"Each string in the right side pair has the same number of indexed non-terminals, and identically indexed non-terminals correspond to eachother.",NC
1,34,"For example, a synchronous rule could take the form of: X → ⟨X 0 of X 1 , X 1 的 X 0 ⟩ .",NC
1,35,Synchronous rules can be extracted based on parallel sentences and automatically obtained word alignments.,NC
1,36,"Each extracted rule is scored with phrase translation probabilities in both directions ϕ(s|t) and ϕ(t|s), lexical translation probabilities in both directions ϕ lex (s|t) and ϕ lex (t|s), a word penalty counting the terminals in t, and a constant phrase penalty of 1.",NC
1,37,"At translation time, the decoder searches for the target sentence that maximizes the derivation probability, which is defined as the sum of the scores of the rules used in the derivation, and the log of the language model (LM) probability over the target strings.",NC
1,39,"When using an LM, the expanded search space is further reduced based on a limit on expanded edges, or total states per span, through a procedure such as cube pruning (Chiang, 2007).",NC
1,40,"In this section, we specifically cover the rules used in Hiero.",NC
1,41,"Hierarchical rules are composed of initial head symbol S, and synchronous rules containing terminals and single kind of non-terminals X.",NC
1,42,"2 Hierarchical rules are extracted using the same phrase extraction procedure used in phrase-based translation (Koehn et al., 2003) based on word alignments, followed by a step that performs recursive extraction of hierarchical phrases (Chiang, 2007).",NC
1,43,"For example, hierarchical rules could take the form of: X → ⟨Officers, 主席团 成員⟩ (3) X → ⟨the Committee, 委员会⟩ (4) X → ⟨X 0 of X 1 , X 1 的 X 0 ⟩ .",NC
1,44,"( ) From these rules, we can translate the input sentence by derivation: S → ⟨X 0 , X 0 ⟩ ⇒ ⟨X 1 of X 2 , X 2 的 X 1 ⟩ ⇒ ⟨Officers of X 2 , X 2 主席团 成員⟩ ⇒ ⟨Officers of the Committee, 委员会 的 主席团 成員⟩ The advantage of Hiero is that it is able to achieve relatively high word re-ordering accuracy (compared to other symbolic SMT alternatives such as standard phrase-based MT) without language-dependent processing.",NC
1,45,"On the other hand, since it does not use syntactic information and tries to extract all possible combinations of rules, it has the tendency to extract very large translation rule tables and also tends to be less syntactically faithful in its derivations.",NC
1,46,"An alternative to Hiero rules is the use of synchronous context-free grammar or synchronous tree-substitution grammar (Graehl and Knight, 2004) rules that explicitly take into account the syntax of the source side (tree-to-string rules), target side (string-to-tree rules), or both (tree-to-tree rules).",NC
1,47,"Taking the example of tree-to-string (T2S) rules, these use parse trees on the source language side, and the head symbols of the synchronous rules are not limited to S or X, but instead use non-terminal symbols corresponding to the phrase structure tags of a given parse tree.",NC
1,48,"For example, T2S rules could take the form of: X NP → ⟨(NP (NNS Officers)), 主席团 成員⟩ (6) X NP → ⟨(NP (DT the) (NNP Committee)), 委员会⟩ (7) X PP → ⟨ (PP (IN of) X NP,0 ), X0 的 ⟩ (8) X NP → ⟨ (NP X NP,0 X PP,1 ), X1 X0 ⟩ .",NC
1,49,"Here, parse subtrees of the source language rules are given in the form of S-expressions.",NC
1,50,"From these rules, we can translate from the parse tree of the input sentence by derivation: X ROOT → ⟨ X NP,0 , X0 ⟩ ⇒ ⟨ (NP X NP,1 X PP,2 ), X2 X1 ⟩ ⇒ ⟨ (NP (NP (NNS Officers) X PP,2 )), X2 主席团 成員 ⟩ * ⇒ ⟨ (NP (NP (NNS Officers)) (PP (IN of) (NP (DT the) (NNP Committee)))) , 委员会 的 主席团 成員 ⟩ In this way, it is possible in T2S translation to obtain a result conforming to the source language's grammar.",NC
1,51,"This method also has the advantage the number of less-useful synchronous rules extracted by syntax-agnostic methods such as Hiero are reduced, making it possible to learn more compact rule tables and allowing for faster translation.",NC
1,59,"In the previous section, we explained about the standard triangulation method and mentioned that the pivot-side ambiguity causes incorrect estimation of translation probability and the translation accuracy might decrease.",NC
1,61,"In the following two sections, we describe two methods to distinguish pivot phrases that have syntactically different roles, one based on exact matching of parse trees, and one based on soft matching.",NC
1,62,"In the exact matching method, we first train pivotsource and pivot-target T2S TMs by parsing the pivot side of parallel corpora, and store them into rule tables as T P S and T P T respectively.",NC
1,63,"Synchronous rules of T P S and T P T take the form of X → ⟨p, s⟩ and X → ⟨ p, t ⟩ respectively, where p is a symbol string that expresses pivot-side parse subtree (S-expression), s and t express source and target symbol strings.",NC
1,64,"The procedure of synthesizing source-target synchronous rules essentially follows equations ( 11)-( 14), except using T P S instead of T SP (direction of probability features is reversed) and pivot subtree p instead of pivot phrase p. Here s and t do not have syntactic information, therefore the synthesized synchronous rules should be hierarchical rules explained in §2.2.",NC
1,65,"The matching condition of this method has harder constraints than matching of superficial symbols in standard triangulation, and has the potential to reduce incorrect connections of phrase pairs, resulting in a more reliable triangulated TM.",NC
1,68,"To prevent the problem of the reduction of coverage in the exact matching method, we also propose a partial matching method that keeps coverage just like standard triangulation by allowing connection of incompletely equivalent pivot subtrees.",FACT
1,69,"To estimate translation probabilities in partial matching, we first define weighted triangulation generalizing the equations ( 11)-( 14) of standard triangulation with weight function ψ(•): ϕ ( t|s ) = ∑ pT ∑ pS ϕ ( t| pT ) ψ ( pT | pS ) ϕ ( pS |s) , ϕ ( s|t ) = ∑ pS ∑ pT ϕ (s| pS ) ψ ( pS | pT ) ϕ ( pT |t ) , ϕ lex ( t|s ) = ∑ pT ∑ pS ϕ lex ( t| pT ) ψ ( pT | pS ) ϕ lex ( pS |s) , (19) ϕ lex ( s|t ) = ∑ pS ∑ pT ϕ lex (s| pS ) ψ ( pS | pT ) ϕ lex ( pT |t ) where pS ∈ T SP and pT ∈ P P T are pivot parse subtrees of source-pivot and pivot-target synchronous rules respectively.",NC
1,70,"By adjusting ψ(•), we can control the magnitude of the penalty for the case of incompletely matched connections.",NC
1,71,"If we define ψ( pT | pS ) = 1 when pT is equal to pS and ψ( pT | pS ) = 0 otherwise, equations ( 17)-( 20) are equivalent with equations ( 11)-( 14).",NC
1,72,"Better estimating ψ(•) is not trivial, and cooccurrence counts of pS and pT are not available.",NC
1,73,"Therefore we introduce a heuristic estimation method as follows: ψ( pT | pS) = w( pS, pT ) ∑ p∈T P T w( pS, p) • max p∈T P T w( pS, p) (21) ψ( pS| pT ) w( pS, pT ) ∑ p∈T SP w(p, pT ) • max p∈T SP w(p, pT ) (22) w( pS, pT ) =    0 (f lat( pS) ̸ = f lat( pT )) exp (−d ( pS, pT )) (otherwise) (23) d( pS, pT ) = T reeEditDistance( pS, pT ) where f lat(p) returns the symbol string of p keeping non-terminals, and T reeEditDistance( pS , pT ) is minimum cost of a sequence of operations (contract an edge, uncontract an edge, modify the label of an edge) needed to transform pS into pT (Klein, 1998).",NC
1,74,"According to equations ( 21)-( 24), we can assure that incomplete match of pivot subtrees leads d(•) ≥ 1 and penalizes such that ψ(•) ≤ 1/e d ≤ 1/e, while exact match of subtrees leads to a value of ψ(•) at least e ≈ 2.718 times larger than when using partially matched subtrees.",NC
1,92,Translating with a Hiero TM directly trained on the source-target parallel corpus without using pivot language (as an oracle).,NC
1,93,"Triangulating source-pivot and pivot-target Hiero TMs into a source-target Hiero TM using the traditional method (baseline, §3).",NC
1,94,"Triangulating pivot-source and pivot-target T2S TMs into a source-target Hiero TM using the proposed exact matching of pivot subtrees (proposed 1, §4.1).",NC
1,95,"Triangulating pivot-source and pivot-target T2S TMs into a source-target Hiero TM using the proposed partial matching of pivot subtrees (proposed 2, §4.2).",NC
1,96,The result of experiments using all combinations of pivot translation tasks for 5 languages via English is shown in Table 1.,NC
1,97,"From the results, we can see that the proposed partial matching method of pivot subtrees in triangulation outperforms the standard triangulation method for all language pairs and achieves higher or almost equal scores than proposed exact matching method.",POS
1,98,"The exact matching method also outperforms the standard triangulation method in the majority of the language pairs, but has a lesser improvement than partial matching method.",POS
1,99,In Table 2 we show the comparison of coverage of each proposed triangulated method.,NC
1,100,"From this table, we can see that the exact matching method reduces several percent in number of unique phrases while the partial matching method keeps the same coverage with surfaceform matching.",POS
1,101,We can consider that it is one of the reasons of the difference in improvement stability between the partial and exact matching methods.,POS
1,102,We show an example of a translated sentences for which pivot-side ambiguity is resolved in the the syntactic matching methods:,NC
1,107,"Recent results (Firat et al., 2016;Johnson et al., 2016) have found that neural machine translation systems can gain the ability to perform translation with zero parallel resources by training on multiple sets of bilingual data.",NC
1,108,"However, previous work has not examined the competitiveness of these methods with pivot-based symbolic SMT frameworks such as PBMT or Hiero.",NC
1,109,"In this section, we compare a zero-shot NMT model (detailed parameters in  Johnson et al.",NC
1,110,"To train and evaluate NMT models, we adopt NMTKit.",NC
1,111,"7 From the results we see the tendency of NMT that directly trained model achieves high translation accuracy even for translation between languages of different families, on the other hand, the accuracy is drastically reduced in the situation when there is no sourcetarget parallel corpora for training.",POS
1,113,"In our setting, while bilingually trained NMT systems were competitive or outperformed Hiero-based models, zeroshot translation is uniformly weaker.",POS
1,115,"Thus, we can posit that while zero-shot translation has demonstrated reasonable results in some settings, successful zero-shot translation systems are far from trivial to build, and pivot-based symbolic MT systems such as PBMT or Hiero may still be a competitive alternative.",POS
1,116,"In this paper, we have proposed a method of pivot translation using triangulation with exact or partial matching method of pivot-side parse subtrees.",FACT
1,117,"In experiments, we found that these triangulated models are effective in particular when allowing partial matching.",POS
1,119,"Therefore in the future, we plan to explore more refined estimation methods that utilize machine learning.",PROSP
2,0,"Text-based adventure games provide a platform on which to explore reinforcement learning in the context of a combinatorial action space, such as natural language.",NC
2,1,We present a deep reinforcement learning architecture that represents the game state as a knowledge graph which is learned during exploration.,FACT
2,2,"This graph is used to prune the action space, enabling more efficient exploration.",POS
2,4,"In experiments using the TextWorld framework, we show that our proposed technique can learn a control policy faster than baseline alternatives.",POS
2,6,Natural language communication can be used to affect change in the real world.,NC
2,7,"Text adventure games, in which players must make sense of the world through text descriptions and declare actions through natural language, can provide a stepping stone toward more real-world environments where agents must communicate to understand the state of the world and indirectly affect change in the world.",NC
2,8,"Text adventure games are also useful for developing and testing reinforcement learning algorithms that must deal with the partial observability of the world (Narasimhan et al., 2015;He et al., 2016).",NC
2,9,"In text adventure games, the agent receives an incomplete textual description of the current state of the world.",NC
2,10,"From this information, and previous interactions with the world, a player must determine the next best action to take to achieve some quest or goal.",NC
2,11,The player must then com-pose a textual description of the action they intend to make and receive textual feedback of the effects of the action.,NC
2,12,"Formally, a text-based game is a partially observable Markov decision process (POMDP), represented as a 7-tuple of S, T, A, Ω, O, R, γ representing the set of environment states, conditional transition probabilities between states, words used to compose text commands, observations, observation conditional probabilities, reward function, and the discount factor respectively (Côté et al., 2018).",NC
2,13,"In text-based games, the agent never has access to the true underlying world state and has to reason about how to act in the world based only on the textual observations.",NC
2,14,"Additionally, the agent's actions must be expressed through natural language commands, ensuring that the action space is combinatorially large.",NC
2,15,"Thus, text-based games pose a different set of challenges than traditional video games.",NC
2,16,Text-based games require a greater understanding of previous context to be able to explore the state-action space more effectively.,NC
2,17,"Such games have historically proven to be difficult to play for AI agents, and the more complex variants such as Zork still remain firmly out of the reach of existing approaches.",NC
2,19,"First, we show that a state representation in the form of a knowledge graph gives us the ability to effectively prune an action space.",POS
2,20,A knowledge graph captures the relationships between entities as a directed graph.,NC
2,24,"Finally, we take initial steps toward framing the POMDP as a questionanswering (QA) problem wherein a knowledgegraph can be used to not only prune actions but to answer the question of what action is most appropriate.",FACT
2,25,"Previous work has shown that many NLP tasks can be framed as instances of questionanswering and that we can transfer knowledge between these tasks (McCann et al., 2017).",NC
2,26,We show how pre-training certain parts of our KG-DQN network using existing QA methods improves performance and allows knowledge to be transferred from different games.,POS
2,28,Results show that incorporating a knowledge-graph into a reinforcement learning agent results in converges to the highest reward more than 40% faster than the best baseline.,POS
2,29,"With pre-training using a questionanswering paradigm, we achieve this fast convergence rate while also achieving high quality quest solutions as measured by the number of steps required to complete the quests.",POS
2,49,"In this section we introduce our knowledge graph representation, action pruning and deep Qnetwork architecture.",NC
2,50,"In our approach, our agent learns a knowledge graph, stored as a set of RDF triples, i.e.",NC
2,51,"3-tuples of subject, relation, object .",NC
2,52,"These triples are extracted from the observations using Stanford's Open Information Extraction (OpenIE) (Angeli et al., 2015).",NC
2,53,OpenIE is not optimized to the regularities of text adventure games and there are a lot of relations that can be inferred from the typical structure of descriptive texts.,NC
2,54,"For example, from a phrase such as ""There is an exit to the north"" one can infer a has relation between the current The knowledge graph is updated after every agent action (see Figure 1).",NC
2,55,The update rules are defined such that there are portions of the graph offering short and long-term context.,NC
2,56,"A special node-designated ""you""-represents the agent and relations out of this node are updated after every action with the exception of relations denoting the agent's inventory.",NC
2,57,Other relations persist after each action.,NC
2,59,They are: • Linking the current room type (e.g.,NC
2,60,"""basement"", ""chamber') to the items found in the room with the relation ""has"", e.g.",NC
2,61,"chamber, has, bed stand • Extracting information regarding entrances and exits and linking them to the current room, e.g.",NC
2,62,"basement, has, exit to north • Removing all relations relating to the ""you"" node with the exception of inventory every action, e.g.",NC
2,63,"you, have, cubical key • Linking rooms with directions based on the action taken to move between the rooms, e.g.",NC
2,64,"chamber, east of, basement after the action ""go east"" is taken to go from the basement to the chamber All other RDF triples generated are taken from OpenIE.",NC
2,65,"The number of actions available to an agent in a text adventure game can be quite large: A = O(|V | × |O| 2 ) where V is the number of action verbs, and O is the number of distinct objects in the world that the agent can interact with, assuming that verbs can take two arguments.",NC
2,66,"Some actions, such as movement, inspecting inventory, or observing the room, do not have arguments.",NC
2,67,The knowledge graph is used to prune the combinatorially large space of possible actions available to the agent as follows.,NC
2,68,"Given the current state graph representation G t , the action space is pruned by ranking the full set of actions and selecting the top-k. Our action scoring function is: • +1 for each object in the action that is present in the graph; and • +1 if there exists a valid directed path between the two objects in the graph.",NC
2,69,We assume that each action has at most two objects (for example inserting a key in a lock).,NC
2,103,"Previous work has shown that many NLP tasks can be framed as instances of question-answering and that in doing so, one can transfer knowledge between these tasks (McCann et al., 2017).",NC
2,104,"In the abstract, an agent playing a text adventure game can be thought of as continuously asking the question ""What is the right action to perform in this situation?""",NC
2,105,"When appropriately trained, the agent may be able to answer the question for itself and select a good next move to execute.",NC
2,109,"The data for the pre-training approach is generated using an oracle, an agent capable of finishing a game perfectly in the least number of steps possible.",NC
2,110,"Specifically, the agent knows exactly what action to take given the state observation in order to advance the game in the most optimal manner possible.",NC
2,111,"Through this process, we generate a set of traces consisting of state observations and actions such that the state observation provides the context for the implicit question of ""What action should be taken?""",NC
2,112,and the oracle's correct action is the answer.,NC
2,114,The weights from the SB-LSTM in the document encoder in the DrQA system are then used to initialize the weights of the SB-LSTM.,NC
2,115,"Similarly, embedding layers of both the graph and the LSTM action encoder are initialized with the weights from the embedding layer of same document encoder.",NC
2,116,"Since the DrQA embedding layers are initialized with GloVe, we are transferring word embeddings that are tuned during the training of the QA architecture.",NC
2,117,The game traces used to train the questionanswering come from a set of games of the same domain but have different specific configurations of the environment and different quests.,NC
2,118,"We use the TextWorld framework (Côté et al., 2018), which uses a grammar to generate random worlds and quests.",NC
2,119,"The types of rooms are the same, but their relative spatial configuration, the types of objects, and the specific sequence of actions needed to complete the quest are different each time.",NC
2,120,This means that the agent cannot simply memorize quests.,NC
2,121,"For pre-training to work, the agent must develop a general question-answering competence that can transfer to new quests.",NC
2,151,"G1 ← updateGraph(G0, o1); A1 ← pruneActions(A, G0) Section 3.2 6: for step t=1 to T do 7: if random() < 1 then 3.",NC
2,152,"Pruned actions with pre-training (full) Our models use 50-dimensional word embeddings, 2 heads on the graph attention layers, minibatch size of 16, and perform a gradient descent update every 5 steps taken by the agent.",NC
2,153,"All models are evaluated by observing the (a) time to reward convergence, and (b) the average number of steps required for the agent to finish the game with = 0.1 over 5 episodes after training has completed.",NC
2,154,Following Narasimhan et al.,NC
2,155,"(2015) we set to a non-zero value because text adventure games, by nature, require exploration to complete the quests.",NC
2,156,All results are reported based on multiple independent trials.,NC
2,157,"For the large set of games, we only perform experiments on the best performing models found in the small set of games.",NC
2,158,"Also note that for experiments on large games, we do not display the entire learning curve for the LSTM-DQN baseline, as it converges significantly more slowly than KG-DQN.",NC
2,159,We run each experiment 5 times and average the results.,NC
2,160,"Additionally, human performance on the both the games was measured by counting the number of steps taken to finish the game, with and without instructions on the exact quest.",NC
2,161,"We modified Textworld to give the human players reward feedback in the form of a score, the reward function itself is identical to that received by the deep reinforcement learning agents.",NC
2,162,"In one variation of this experiment, the human was given instructions on the potential sequence of steps that are required to finish the game in addition to the reward in the form of a score and in the other variation, the human received no instructions.",NC
2,163,Recall that the number of steps required to finish the game for the oracle agent is 5 and 10 for the small and large maps respectively.,NC
2,164,It is impossible to achieve this ideal performance due to the structure of the quest.,NC
2,165,The player needs to interact with objects and explore the environment in order to figure out the exact sequence of actions required to finish the quest.,NC
2,166,"To help benchmark our agent's performance, we observed people unaffiliated with the research playing through the same TextWorld ""home"" quests as the other models.",NC
2,169,Also note that none of the deep reinforcement learning agents received instructions.,NC
2,170,"On both small and large maps, all versions of KG-DQN tested converge faster than baselines (see Figure 3 for the small game and Figure 4 for the large game).",POS
2,172,KG-DQN converges 40% faster than baseline on the small game; both KG-DQN and the LSTM-DQN baseline reaches the maximum reward of five.,POS
2,174,"agents achieve the maximum reward of 10, and the LSTM-DQN requires more than 300 episodes to converge at the same level as KG-DQN.",POS
2,175,"Since all versions of KG-DQN converge at approximately the same rate, we conclude that the knowledge graph-i.e., persistent memory-is the main factor helping convergence time since it is the common element across all experiments.",POS
2,176,"After training is complete, we measure the number of steps each agent needs to complete each quest.",NC
2,177,Full KG-DQN requires an equivalent number of steps in the small game (Table 3) and in the large game (Table 4).,POS
2,179,The ablated versions of KG-DQN-unpruned KG-DQN and non-pre-trained KG-DQN-require many more steps to complete quests.,POS
2,181,"From these results, we conclude that the pre-training using our questionanswering paradigm is allowing the agent to find a general understanding of how to pick good actions even when the agent has never seen the final",POS
2,182,We have shown that incorporating knowledge graphs into an deep Q-network can reduce training time for agents playing text-adventure games of various lengths.,POS
2,183,We speculate that this is because the knowledge graph provides a persistent memory of the world as it is being explored.,POS
2,185,Action pruning using the knowledge graph and pre-training of the embeddings used in the deep Q-network result in shorter action sequences needed to complete quests.,POS
2,187,"That is, at every step, the agent is asking-and trying to answer-what is the most important thing to try.",NC
3,2,"In this paper, we remove the discrepancy between training and test phases by considering, in the training of MMA, the interactions across multiple heads that will occur in the test time.",FACT
3,3,"Specifically, we derive the expected alignments from monotonic attention by considering the boundaries of other heads and reflect them in the learning process.",FACT
3,5,"Online automatic speech recognition (ASR), which immediately recognizes incomplete speeches as humans do, is emerging as a core element of diverse ASR-based services such as teleconferences, AI secretaries, or AI booking services.",NC
3,6,"In particular, in these days, where the untact service market is rapidly growing due to the recent global outbreak of COVID-19, the importance of providing more realistic services by reducing latency is also growing.",NC
3,7,"However, of course, online ASR models [1,2] targeting real-time inference have concerns about performance degradation compared to traditional Copyright 2021 IEEE.",NC
3,8,"Published in ICASSP 2021 -2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), scheduled for 6-11 June 2021 in Toronto, Ontario, Canada.",NC
3,9,Personal use of this material is permitted.,NC
3,10,"However, permission to reprint/republish this material for advertising or promotional purposes or for creating new collective works for resale or redistribution to servers or lists, or to reuse any copyrighted component of this work in other works, must be obtained from the IEEE.",NC
3,11,"Contact: Manager, Copyrights and Permissions / IEEE Service Center / 445 Hoes Lane / P.O.",NC
3,12,"Box 1331 / Piscataway, NJ 08855-1331, USA.",NC
3,13,Telephone: + Intl.,NC
3,14,908-562-3966.,NC
3,15,"DNN-HMM hybrid models with pre-segmented alignments or offline models based on Transformer [3,4], which is the state-of-the-art in many sequence-sequence tasks nowadays.",NC
3,16,"In order to overcome this performance-delay trade-off, several attempts have been made to learn or find monotonic alignments between source and target via attention mechanism [5,6,7,8,9].",NC
3,17,"Especially, Monotonic Attention (MA), and Monotonic Chunkwise Attention (MoChA) [8,9] learn alignments in an end-to-end manner by calculating differentiable expected alignments in training phase and shows comparable performance to models using an offline attention.",NC
3,18,"Very recently, motivated by the success of Transformer architecture even in ASR [4], direct attempts to make it online by applying these learning alignment strategies to Transformer, not on the traditional RNN based models, are emerging [10,11,12,13].",NC
3,19,"Among others, Monotonic Multihead Attention (MMA) [14] converts each of multi-heads in Transformer to MA and exploits the diversity of alignments from multiple heads.",NC
3,20,"In order to resolve the issue of MMA that has to wait for all multi-heads to decode, HeadDrop [15] drops heads stochastically in the training stage.",NC
3,21,"[15] also proposed to use head-synchronous beam search decoding (HSD) which limits the difference in selection time between the heads in the same layer only in the inference phase, but resulting in the discrepancy between training and inference.",NC
3,22,"In this paper, we propose an algorithm, called ""Mutually-Constrained Monotonic Multihead Attention"" (MCMMA), that enables the model to learns alignments along with other heads by modifying expected alignments to consistently bring constrained alignments of the test time to the training time.",FACT
3,23,"By bridging the gap between the training and the test stages, MCMMA effectively improves performance.",POS
3,24,"We first review the main components which our model is based on, including monotonic attention, monotonic multihead attention, and HeadDrop with head-synchronous beam search decoding in Subsection 2.1, 2.2, and 2.3, respectively.",NC
3,25,MA [8] is the attention-based encoder-decoder RNN model which is able to learn monotonic alignments in an end-toend manner.,NC
3,26,"The encoder processes input sequence x = (x 1 , .",NC
3,27,", x T ) to encoder states h = (h 1 , .",NC
3,28,"At i-th arXiv:2103.14302v1 [cs.CL] 26 Mar 2021 output step, the decoder sequentially inspects encoder states from the last selected one in the previous step and decide whether to take it or not to produce current output.",NC
3,29,"The probability p i,j to select h j for i-th output is computed as e i,j = MonotonicEnergy (s i-1 , h j ) and p i,j = σ (e i,j ) where s i-1 is a decoder state of (i -1)-th output step.",NC
3,30,"If h j is selected, the RNN decoder takes it as context c i = h j with the previous decoder state s i-1 and output y i-1 to compute current state.",NC
3,31,"To make alignment learnable in the training phase, a hard selected context above is replaced by a expected context c i = L j=1 α i,j h j , the weighted sum of h with the expected alignment α computed as α i,j = p i,j j k=1 α i-1,k j-1 l=k (1 -p i,l ) .",NC
3,32,(1) MoChA [9] extends MA by performing soft attention over fixed-length chunks of encoder states preceding the position chosen by a MA mechanism.,NC
3,33,MMA [14] applies MA mechanism to Transformer [3] by making each of the multiple heads of decoder-encoder attention learn monotonic alignments as MA.,NC
3,34,MMA borrows scaled dot-product operation of Transformer.,NC
3,35,"Although MMA leads to considerable improvement in online machine translation, the latency is still high since the model should wait until all heads to select their contexts for every decoding step.",NC
3,36,"Thus, the authors of [14] proposed to use additional regularization to minimize the variance of expected alignments of all heads to reduce the latency.",NC
3,37,"Nevertheless, this approach does not model the dependency between heads explicitly.",NC
3,38,HeadDrop [15] is the method that drops each head stochastically for each individual to learn alignments correctly.,NC
3,39,This approach improves boundary coverage and streamability of MMA [15].,NC
3,40,"Head-synchronous decoding (HSD) [15] is the inference algorithm, where the leftmost head forces slow heads, which fail to choose any frames within waiting time threshold , to choose the rightmost of selected frames.",NC
