id,text,doc_id,paper_title,paper_structure,year,prev_text,prev_section,next_text,next_section,label,Comments
46435,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 5/40
==========================================================================================
The ability to apply QA models on outof-domain data in an efficient manner is thus very 1 Equal contribution 2 Work done during internship at the AWS AI Labs desirable.",457845,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Creating a dataset for every new domain is extremely costly and practically infeasible.,Introduction,"This problem may be approached with domain adaptation or transfer learning techniques (Chung et al., 2018) as well as data augmentation (Yang et al., 2017;Dhingra et al., 2018;Wang et al., 2018;Alberti et al., 2019).",Introduction,context-AIC#rw,
46436,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 6/40
==========================================================================================
This problem may be approached with domain adaptation or transfer learning techniques (Chung et al., 2018) as well as data augmentation (Yang et al., 2017;Dhingra et al., 2018;Wang et al., 2018;Alberti et al., 2019).",457846,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,The ability to apply QA models on outof-domain data in an efficient manner is thus very 1 Equal contribution 2 Work done during internship at the AWS AI Labs desirable.,Introduction,"However, here we expand upon the recently introduced task of unsupervised question answering (Lewis et al., 2019) to examine the extent to which synthetic training data alone can be used to train a QA model. ",Introduction,context-AIC#rw,
46437,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 7/40
==========================================================================================
However, here we expand upon the recently introduced task of unsupervised question answering (Lewis et al., 2019) to examine the extent to which synthetic training data alone can be used to train a QA model. ",457847,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"This problem may be approached with domain adaptation or transfer learning techniques (Chung et al., 2018) as well as data augmentation (Yang et al., 2017;Dhingra et al., 2018;Wang et al., 2018;Alberti et al., 2019).",Introduction,"In particular, we focus on the machine reading comprehension setting in which the context is a given paragraph, and the QA model can only access this paragraph to answer a question.",Introduction,contribution-AIC#rw,
46438,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 8/40
==========================================================================================
In particular, we focus on the machine reading comprehension setting in which the context is a given paragraph, and the QA model can only access this paragraph to answer a question.",457848,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"However, here we expand upon the recently introduced task of unsupervised question answering (Lewis et al., 2019) to examine the extent to which synthetic training data alone can be used to train a QA model. ",Introduction,"Furthermore, we work on extractive QA, where the answer is assumed to be a contiguous sub-string of the context.",Introduction,contribution-AIC,
46439,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 9/40
==========================================================================================
Furthermore, we work on extractive QA, where the answer is assumed to be a contiguous sub-string of the context.",457849,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"In particular, we focus on the machine reading comprehension setting in which the context is a given paragraph, and the QA model can only access this paragraph to answer a question.",Introduction,"A training instance for supervised reading comprehension consists of three components: a question, a context, and an answer.",Introduction,contribution-AIC,
46440,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 10/40
==========================================================================================
A training instance for supervised reading comprehension consists of three components: a question, a context, and an answer.",457850,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Furthermore, we work on extractive QA, where the answer is assumed to be a contiguous sub-string of the context.",Introduction,"For a given dataset domain, a collection of documents can usually be easily obtained, providing context in the form of paragraphs or sets of sentences.",Introduction,context-AIC,
46441,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 11/40
==========================================================================================
For a given dataset domain, a collection of documents can usually be easily obtained, providing context in the form of paragraphs or sets of sentences.",457851,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"A training instance for supervised reading comprehension consists of three components: a question, a context, and an answer.",Introduction,Answers can be gathered from keywords and phrases from the context.,Introduction,context-AIC,
46442,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 12/40
==========================================================================================
Answers can be gathered from keywords and phrases from the context.",457852,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"For a given dataset domain, a collection of documents can usually be easily obtained, providing context in the form of paragraphs or sets of sentences.",Introduction,We focus mainly on factoid QA; the question concerns a concise fact.,Introduction,context-AIC,
46443,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 13/40
==========================================================================================
We focus mainly on factoid QA; the question concerns a concise fact.",457853,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Answers can be gathered from keywords and phrases from the context.,Introduction,"In particular, we emphasize questions whose answers are named entities, the majority type of factoid questions.",Introduction,contribution-AIC,
46444,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 14/40
==========================================================================================
In particular, we emphasize questions whose answers are named entities, the majority type of factoid questions.",457854,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,We focus mainly on factoid QA; the question concerns a concise fact.,Introduction,Entities can be extracted from text using named entity recognition (NER) techniques as the training instance's answer.,Introduction,contribution-AIC,
46445,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 15/40
==========================================================================================
Entities can be extracted from text using named entity recognition (NER) techniques as the training instance's answer.",457855,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"In particular, we emphasize questions whose answers are named entities, the majority type of factoid questions.",Introduction,"Thus, the main challenge, and the focus of this paper, is creating a relevant question from a (context, answer) pair in an unsupervised manner. ",Introduction,context-AIC,
46446,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 16/40
==========================================================================================
Thus, the main challenge, and the focus of this paper, is creating a relevant question from a (context, answer) pair in an unsupervised manner. ",457856,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Entities can be extracted from text using named entity recognition (NER) techniques as the training instance's answer.,Introduction,"Recent work of (Lewis et al., 2019) uses style transfer for generating questions for (context, answer) pairs but shows little improvement over applying a much simpler question generator which drops, permutates and masks words.",Introduction,contribution-AIC,
46447,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 17/40
==========================================================================================
Recent work of (Lewis et al., 2019) uses style transfer for generating questions for (context, answer) pairs but shows little improvement over applying a much simpler question generator which drops, permutates and masks words.",457857,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Thus, the main challenge, and the focus of this paper, is creating a relevant question from a (context, answer) pair in an unsupervised manner. ",Introduction,"We improve upon this paper by proposing a simple, intuitive, retrieval and template-based question generation approach, illustrated in Figure 1.",Introduction,context-AIC#rw,
46448,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 18/40
==========================================================================================
We improve upon this paper by proposing a simple, intuitive, retrieval and template-based question generation approach, illustrated in Figure 1.",457858,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Recent work of (Lewis et al., 2019) uses style transfer for generating questions for (context, answer) pairs but shows little improvement over applying a much simpler question generator which drops, permutates and masks words.",Introduction,"The idea is to retrieve a sentence from the corpus similar to the current context, and then generate a question based on that sentence.",Introduction,contribution-AIC,
46449,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 19/40
==========================================================================================
The idea is to retrieve a sentence from the corpus similar to the current context, and then generate a question based on that sentence.",457859,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"We improve upon this paper by proposing a simple, intuitive, retrieval and template-based question generation approach, illustrated in Figure 1.",Introduction,"Having created a question for all (context, answer) pairs, we then fine-tune a pretrained BERT model on this data and evaluate on the SQuAD v1.1 dataset (Rajpurkar et al., 2016). ",Introduction,contribution-AIC,
46450,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 20/40
==========================================================================================
Having created a question for all (context, answer) pairs, we then fine-tune a pretrained BERT model on this data and evaluate on the SQuAD v1.1 dataset (Rajpurkar et al., 2016). ",457860,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"The idea is to retrieve a sentence from the corpus similar to the current context, and then generate a question based on that sentence.",Introduction,"Our contributions are as follows: we introduce a retrieval, template-based framework which achieves state-of-the-art results on SQuAD for unsupervised models, particularly when the answer is a named entity.",Introduction,contribution-AIC#rw,
46451,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 21/40
==========================================================================================
Our contributions are as follows: we introduce a retrieval, template-based framework which achieves state-of-the-art results on SQuAD for unsupervised models, particularly when the answer is a named entity.",457861,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Having created a question for all (context, answer) pairs, we then fine-tune a pretrained BERT model on this data and evaluate on the SQuAD v1.1 dataset (Rajpurkar et al., 2016). ",Introduction,We perform ablation studies to determine the effect of components in template question generation.,Introduction,contribution-AIC#result,
46452,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 22/40
==========================================================================================
We perform ablation studies to determine the effect of components in template question generation.",457862,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Our contributions are as follows: we introduce a retrieval, template-based framework which achieves state-of-the-art results on SQuAD for unsupervised models, particularly when the answer is a named entity.",Introduction,We are releasing our synthetic training data and code.,Introduction,contribution-AIC,
46453,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 23/40
==========================================================================================
We are releasing our synthetic training data and code.",457863,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,We perform ablation studies to determine the effect of components in template question generation.,Introduction,"1 2 Unsupervised QA Approach We focus on creating high-quality, non-trivial questions which will allow the model to learn to extract the proper answer from a context-question pair. ",Introduction,contribution-AIC,
46454,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 24/40
==========================================================================================
1 2 Unsupervised QA Approach We focus on creating high-quality, non-trivial questions which will allow the model to learn to extract the proper answer from a context-question pair. ",457864,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,We are releasing our synthetic training data and code.,Introduction,Sentence Retrieval: A standard cloze question can be obtained by taking the original sentence in which the answer appears from the context and masking the answer with a chosen token.,Introduction,contribution-AIC#error,
46455,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 25/40
==========================================================================================
Sentence Retrieval: A standard cloze question can be obtained by taking the original sentence in which the answer appears from the context and masking the answer with a chosen token.",457865,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"1 2 Unsupervised QA Approach We focus on creating high-quality, non-trivial questions which will allow the model to learn to extract the proper answer from a context-question pair. ",Introduction,"However, a model trained on this data will only learn text matching and how to fill-in-the-blank, with little generalizability.",Introduction,context-AIC,
46456,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 26/40
==========================================================================================
However, a model trained on this data will only learn text matching and how to fill-in-the-blank, with little generalizability.",457866,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Sentence Retrieval: A standard cloze question can be obtained by taking the original sentence in which the answer appears from the context and masking the answer with a chosen token.,Introduction,"For this reason, we chose to use a retrieval-based approach to obtain a sentence similar to that which contains the answer, upon which to create a given question.",Introduction,context-AIC,
46457,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 27/40
==========================================================================================
For this reason, we chose to use a retrieval-based approach to obtain a sentence similar to that which contains the answer, upon which to create a given question.",457867,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"However, a model trained on this data will only learn text matching and how to fill-in-the-blank, with little generalizability.",Introduction,"For our experiments, we focused on answers which are named entities, which has proven to be a useful prior assumption for downstream QA performance (Lewis et al., 2019) confirmed by our initial experiments.",Introduction,context-AIC,
46458,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 28/40
==========================================================================================
For our experiments, we focused on answers which are named entities, which has proven to be a useful prior assumption for downstream QA performance (Lewis et al., 2019) confirmed by our initial experiments.",457868,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"For this reason, we chose to use a retrieval-based approach to obtain a sentence similar to that which contains the answer, upon which to create a given question.",Introduction,"First, we indexed all of the sentences from a Wikipedia dump using the ElasticSearch search engine.",Introduction,contribution-AIC#result#rw,
46459,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 29/40
==========================================================================================
First, we indexed all of the sentences from a Wikipedia dump using the ElasticSearch search engine.",457869,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"For our experiments, we focused on answers which are named entities, which has proven to be a useful prior assumption for downstream QA performance (Lewis et al., 2019) confirmed by our initial experiments.",Introduction,We also extract named entities for each sentence in both the Wikipedia corpus and the sentences used as queries.,Introduction,contribution-AIC,
46460,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 30/40
==========================================================================================
We also extract named entities for each sentence in both the Wikipedia corpus and the sentences used as queries.",457870,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"First, we indexed all of the sentences from a Wikipedia dump using the ElasticSearch search engine.",Introduction,"We assume access to a named-entity recognition system, and in this work make use of the spaCy 2 NER pipeline.",Introduction,contribution-AIC,
46461,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 31/40
==========================================================================================
We assume access to a named-entity recognition system, and in this work make use of the spaCy 2 NER pipeline.",457871,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,We also extract named entities for each sentence in both the Wikipedia corpus and the sentences used as queries.,Introduction,"Then, for a given context-answer pair, we query the index, using the original context sentence as a query, to return a sentence which ( 1) contains the answer, (2) does not come from the context, and (3) has a lower than 95% F1 score with the query sentence to discard highly similar or plagiarized sentences.",Introduction,contribution-AIC,
46462,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 32/40
==========================================================================================
Then, for a given context-answer pair, we query the index, using the original context sentence as a query, to return a sentence which ( 1) contains the answer, (2) does not come from the context, and (3) has a lower than 95% F1 score with the query sentence to discard highly similar or plagiarized sentences.",457872,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"We assume access to a named-entity recognition system, and in this work make use of the spaCy 2 NER pipeline.",Introduction,"Besides ensuring that the retrieved sentence and query sentence share the answer entity, we require that at least one additional matching entity appears in both the query sentence and in the entire context, and we perform ablation studies on the effect of this matching below.",Introduction,contribution-AIC,
46463,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 33/40
==========================================================================================
Besides ensuring that the retrieved sentence and query sentence share the answer entity, we require that at least one additional matching entity appears in both the query sentence and in the entire context, and we perform ablation studies on the effect of this matching below.",457873,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Then, for a given context-answer pair, we query the index, using the original context sentence as a query, to return a sentence which ( 1) contains the answer, (2) does not come from the context, and (3) has a lower than 95% F1 score with the query sentence to discard highly similar or plagiarized sentences.",Introduction,These retrieved sentences are then fed into our question-generation module. ,Introduction,contribution-AIC,
46464,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 34/40
==========================================================================================
These retrieved sentences are then fed into our question-generation module. ",457874,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Besides ensuring that the retrieved sentence and query sentence share the answer entity, we require that at least one additional matching entity appears in both the query sentence and in the entire context, and we perform ablation studies on the effect of this matching below.",Introduction,"Template-based Question Generation: We consider several question styles (1) generic clozestyle questions where the answer is replaced by the token ""[MASK]"", (2) templated question ""Wh+B+A+?"" as well as variations on the ordering of this template, as shown in Figure 2.",Introduction,contribution-AIC,
46465,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 35/40
==========================================================================================
Template-based Question Generation: We consider several question styles (1) generic clozestyle questions where the answer is replaced by the token ""[MASK]"", (2) templated question ""Wh+B+A+?"" as well as variations on the ordering of this template, as shown in Figure 2.",457875,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,These retrieved sentences are then fed into our question-generation module. ,Introduction,"Given the retrieved sentence in the form of [Fragment A] [Answer] [Fragment B], the templated question ""Wh+B+A+?"" replaces the answer with a Wh-component (e.g., what, who, where), which depends on the entity type of the answer and places the Wh-component at the beginning of the question, followed by sentence Fragment B and Fragment A. For the choice of wh-component, we sample a bi-gram based on prior probabilities of that bi-gram being associated with the named-entity type of the answer.",Introduction,contribution-AIC,
46466,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 36/40
==========================================================================================
Given the retrieved sentence in the form of [Fragment A] [Answer] [Fragment B], the templated question ""Wh+B+A+?"" replaces the answer with a Wh-component (e.g., what, who, where), which depends on the entity type of the answer and places the Wh-component at the beginning of the question, followed by sentence Fragment B and Fragment A. For the choice of wh-component, we sample a bi-gram based on prior probabilities of that bi-gram being associated with the named-entity type of the answer.",457876,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Template-based Question Generation: We consider several question styles (1) generic clozestyle questions where the answer is replaced by the token ""[MASK]"", (2) templated question ""Wh+B+A+?"" as well as variations on the ordering of this template, as shown in Figure 2.",Introduction,This prior probability is calculated based on named-entity and question bi-gram starters from the SQuAD dataset.,Introduction,contribution-AIC,
46467,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 37/40
==========================================================================================
This prior probability is calculated based on named-entity and question bi-gram starters from the SQuAD dataset.",457877,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Given the retrieved sentence in the form of [Fragment A] [Answer] [Fragment B], the templated question ""Wh+B+A+?"" replaces the answer with a Wh-component (e.g., what, who, where), which depends on the entity type of the answer and places the Wh-component at the beginning of the question, followed by sentence Fragment B and Fragment A. For the choice of wh-component, we sample a bi-gram based on prior probabilities of that bi-gram being associated with the named-entity type of the answer.",Introduction,"This information does not make use of the full context-question-answer and can be viewed as prior information, not disturbing the integrity of our unsupervised approach.",Introduction,contribution-AIC,
46468,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 38/40
==========================================================================================
This information does not make use of the full context-question-answer and can be viewed as prior information, not disturbing the integrity of our unsupervised approach.",457878,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,This prior probability is calculated based on named-entity and question bi-gram starters from the SQuAD dataset.,Introduction,"Additionally, the choice of wh component does not significantly affect results.",Introduction,contribution-AIC,
